modelo,input_npz,metadata,matriz,shape_original,shape_usada,filas_cero_excluidas,kmo_global,kmo_interpretacion,kmo_min_variable,kmo_mediana_variable,kmo_max_variable,bartlett_chi2,bartlett_dof,bartlett_p_value,bartlett_significativo_0_05,bartlett_origen,nota
v8,/workspace/geovision-cali-hf/outputs/clip_training_remoteclip_vitb32_sae_v6/embeddings_remoteclip_vitb32_sae_v6.npz,/workspace/geovision-cali-hf/outputs/clip_dataset_final_step_by_step/clip_s2_12band_pdf_classes_1000_v2/metadata.jsonl,remoteclip_visual_512,"[1000, 512]","[975, 512]",25,0.8463615748399567,muy_bueno,0.3980397261147011,0.8510172266269578,0.9499058317817134,inf,130816,0.0,True,factor_analyzer,baseline v8; se filtran tiles visualmente cero por metadata image_max/image_std como en el análisis PCA/AFE/AFC principal
v10_v5b,/workspace/geovision-cali-hf/outputs/clip_training_remoteclip_v10_v5b_embeddings/embeddings_remoteclip_v10_v5b.npz,/workspace/geovision-cali-hf/outputs/clip_dataset_final_step_by_step/clip_s2_12band_pdf_classes_v5b_high_purity_1500_gsplit/metadata.jsonl,remoteclip_visual_512,"[1500, 512]","[1500, 512]",0,0.8522400322681704,muy_bueno,0.3859288132093319,0.8581669185618064,0.9592784571147004,inf,130816,0.0,True,factor_analyzer,modelo robusto v10/v5b; no se esperan filas cero
