factor,dimension,carga,carga_abs
Factor_1,emb_dim_0098,0.8649916919875693,0.8649916919875693
Factor_1,emb_dim_0068,0.8645087531682835,0.8645087531682835
Factor_1,emb_dim_0174,-0.8493973546031287,0.8493973546031287
Factor_1,emb_dim_0276,0.8394470613011962,0.8394470613011962
Factor_1,emb_dim_0064,0.8351211328587269,0.8351211328587269
Factor_1,emb_dim_0485,-0.8324981693785526,0.8324981693785526
Factor_1,emb_dim_0260,0.8289791436702719,0.8289791436702719
Factor_1,emb_dim_0074,-0.8288517512746436,0.8288517512746436
Factor_2,emb_dim_0176,-0.8588933692670753,0.8588933692670753
Factor_2,emb_dim_0453,-0.7492266759564629,0.7492266759564629
Factor_2,emb_dim_0069,0.7352425894934901,0.7352425894934901
Factor_2,emb_dim_0221,-0.7324486426459851,0.7324486426459851
Factor_2,emb_dim_0250,-0.7298408434867543,0.7298408434867543
Factor_2,emb_dim_0246,0.7027096623383661,0.7027096623383661
Factor_2,emb_dim_0023,-0.6963429877661521,0.6963429877661521
Factor_2,emb_dim_0066,-0.6871083384799533,0.6871083384799533
Factor_3,emb_dim_0180,0.8296972528564751,0.8296972528564751
Factor_3,emb_dim_0063,-0.8194527371782208,0.8194527371782208
Factor_3,emb_dim_0152,-0.7749167827467729,0.7749167827467729
Factor_3,emb_dim_0471,0.7404841352910718,0.7404841352910718
Factor_3,emb_dim_0326,0.7289164583304294,0.7289164583304294
Factor_3,emb_dim_0065,-0.7283853419581406,0.7283853419581406
Factor_3,emb_dim_0233,0.6934819057493201,0.6934819057493201
Factor_3,emb_dim_0320,0.6930449050974107,0.6930449050974107
Factor_4,emb_dim_0312,0.7267302100229719,0.7267302100229719
Factor_4,emb_dim_0133,0.7256768780107462,0.7256768780107462
Factor_4,emb_dim_0092,-0.717075911177685,0.717075911177685
Factor_4,emb_dim_0329,0.6535211938362713,0.6535211938362713
Factor_4,emb_dim_0191,0.6153003774788297,0.6153003774788297
Factor_4,emb_dim_0035,-0.6090781401832827,0.6090781401832827
Factor_4,emb_dim_0357,0.5765250631620923,0.5765250631620923
Factor_4,emb_dim_0447,0.5563377351825425,0.5563377351825425
Factor_5,emb_dim_0399,0.7708175432381187,0.7708175432381187
Factor_5,emb_dim_0396,-0.7312454523996259,0.7312454523996259
Factor_5,emb_dim_0423,-0.6395520938343559,0.6395520938343559
Factor_5,emb_dim_0080,0.6098116799452975,0.6098116799452975
Factor_5,emb_dim_0383,-0.5776946313974622,0.5776946313974622
Factor_5,emb_dim_0256,-0.564783166829623,0.564783166829623
Factor_5,emb_dim_0427,-0.5463942672775788,0.5463942672775788
Factor_5,emb_dim_0021,0.5252535935254877,0.5252535935254877
Factor_6,emb_dim_0018,0.5675428404526766,0.5675428404526766
Factor_6,emb_dim_0012,-0.4675002450509243,0.4675002450509243
Factor_6,emb_dim_0230,0.4628575455958494,0.4628575455958494
Factor_6,emb_dim_0118,-0.45226842411016843,0.45226842411016843
Factor_6,emb_dim_0122,-0.43887325075740974,0.43887325075740974
Factor_6,emb_dim_0106,0.3929448920628642,0.3929448920628642
Factor_6,emb_dim_0233,-0.3758318555673625,0.3758318555673625
Factor_6,emb_dim_0410,0.37550198746504426,0.37550198746504426
Factor_7,emb_dim_0019,-0.7315614566353748,0.7315614566353748
Factor_7,emb_dim_0468,0.3743683695530505,0.3743683695530505
Factor_7,emb_dim_0465,0.3555378503086266,0.3555378503086266
Factor_7,emb_dim_0408,0.3008283876920772,0.3008283876920772
Factor_7,emb_dim_0043,0.2973551661836891,0.2973551661836891
Factor_7,emb_dim_0285,-0.278621438388289,0.278621438388289
Factor_7,emb_dim_0484,0.2759128890041337,0.2759128890041337
Factor_7,emb_dim_0032,0.2744872553549445,0.2744872553549445
Factor_8,emb_dim_0507,-0.7366787623742974,0.7366787623742974
Factor_8,emb_dim_0057,0.5389708949243702,0.5389708949243702
Factor_8,emb_dim_0190,-0.3891556133954893,0.3891556133954893
Factor_8,emb_dim_0118,-0.3792264149452919,0.3792264149452919
Factor_8,emb_dim_0054,-0.3724897611332486,0.3724897611332486
Factor_8,emb_dim_0143,-0.3591181030046965,0.3591181030046965
Factor_8,emb_dim_0280,0.35361551391516544,0.35361551391516544
Factor_8,emb_dim_0245,0.3468800665654011,0.3468800665654011
Factor_9,emb_dim_0443,0.6268669792618572,0.6268669792618572
Factor_9,emb_dim_0247,0.4597058011191122,0.4597058011191122
Factor_9,emb_dim_0227,0.4400103125281163,0.4400103125281163
Factor_9,emb_dim_0491,-0.4069219929999135,0.4069219929999135
Factor_9,emb_dim_0037,-0.4063033665549928,0.4063033665549928
Factor_9,emb_dim_0434,-0.39242450452147537,0.39242450452147537
Factor_9,emb_dim_0197,-0.37352107359401654,0.37352107359401654
Factor_9,emb_dim_0372,0.36611406321850587,0.36611406321850587
Factor_10,emb_dim_0154,0.78924106684292,0.78924106684292
Factor_10,emb_dim_0488,0.289234492884169,0.289234492884169
Factor_10,emb_dim_0315,-0.28918705487219715,0.28918705487219715
Factor_10,emb_dim_0286,-0.2840419034651974,0.2840419034651974
Factor_10,emb_dim_0237,0.27446888288941795,0.27446888288941795
Factor_10,emb_dim_0077,0.2739750761832454,0.2739750761832454
Factor_10,emb_dim_0405,0.2719997449677932,0.2719997449677932
Factor_10,emb_dim_0343,-0.2638960168230407,0.2638960168230407
Factor_11,emb_dim_0494,0.6904235204007099,0.6904235204007099
Factor_11,emb_dim_0480,0.4439588614817659,0.4439588614817659
Factor_11,emb_dim_0367,0.2871265205355829,0.2871265205355829
Factor_11,emb_dim_0468,0.26775899785542234,0.26775899785542234
Factor_11,emb_dim_0391,0.26129784729632183,0.26129784729632183
Factor_11,emb_dim_0112,0.2611283269387901,0.2611283269387901
Factor_11,emb_dim_0249,0.25865821072365786,0.25865821072365786
Factor_11,emb_dim_0416,-0.24235164064410228,0.24235164064410228
Factor_12,emb_dim_0093,-0.8296428339338469,0.8296428339338469
Factor_12,emb_dim_0235,0.5119377942297,0.5119377942297
Factor_12,emb_dim_0286,-0.390290956918107,0.390290956918107
Factor_12,emb_dim_0405,-0.38028245013057055,0.38028245013057055
Factor_12,emb_dim_0048,0.35633501354801944,0.35633501354801944
Factor_12,emb_dim_0115,0.34457005938421453,0.34457005938421453
Factor_12,emb_dim_0205,0.31798486748978216,0.31798486748978216
Factor_12,emb_dim_0440,0.3091657567536782,0.3091657567536782
Factor_13,emb_dim_0124,0.7450746835007387,0.7450746835007387
Factor_13,emb_dim_0472,0.4342900015497573,0.4342900015497573
Factor_13,emb_dim_0489,-0.32230504479383437,0.32230504479383437
Factor_13,emb_dim_0475,0.3153675532433433,0.3153675532433433
Factor_13,emb_dim_0247,-0.28460706916128453,0.28460706916128453
Factor_13,emb_dim_0153,-0.27496492763339514,0.27496492763339514
Factor_13,emb_dim_0205,0.2680034673847405,0.2680034673847405
Factor_13,emb_dim_0031,0.25478859706954776,0.25478859706954776
Factor_14,emb_dim_0450,-0.7917125142199255,0.7917125142199255
Factor_14,emb_dim_0109,-0.46326082458233914,0.46326082458233914
Factor_14,emb_dim_0427,-0.42100786858524336,0.42100786858524336
Factor_14,emb_dim_0033,0.4125947340169027,0.4125947340169027
Factor_14,emb_dim_0411,0.3983348496690158,0.3983348496690158
Factor_14,emb_dim_0308,-0.3176879867142514,0.3176879867142514
Factor_14,emb_dim_0293,0.30182012582545187,0.30182012582545187
Factor_14,emb_dim_0332,-0.3013083886431292,0.3013083886431292
Factor_15,emb_dim_0041,-0.6305674514008548,0.6305674514008548
Factor_15,emb_dim_0161,0.32236744469813383,0.32236744469813383
Factor_15,emb_dim_0333,0.31465744487582514,0.31465744487582514
Factor_15,emb_dim_0491,0.28241114024170744,0.28241114024170744
Factor_15,emb_dim_0245,0.25206755895143534,0.25206755895143534
