factor,Carga_Antropogenica,Estres_Vegetal,Densidad_Urbana,Volatilidad_Atmosferica
Factor_1_score,5.940430902940143,6.36046802557571,10.94140743794474,0.6372154975196709
Factor_2_score,2.0438118618326753,0.26389372625536245,5.773856669172547,5.163405525984272
Factor_3_score,2.82231547613247,1.1443202833098989,3.2293121549276957,4.216853840186278
Factor_4_score,0.8277588796091457,0.2448037307739456,0.09371685749057335,0.4045023556074052
Factor_5_score,0.49977177840167825,0.6852021589978071,1.5356297730333295,0.3660885988640319
Factor_6_score,1.5927829493120724,1.7903907677853041,2.2847891739187602,0.4831967121147719
Factor_7_score,0.5254237700868325,0.5375680706550061,0.7280611687980381,0.11003978687497634
Factor_8_score,0.2146520270062395,0.2951353021039284,0.016119990156528874,0.3800804110081305
Factor_9_score,0.3645332689582356,0.2488818874342919,0.24055659577708924,0.5323063463932969
Factor_10_score,0.7520880816030333,0.67876629470317,0.5901652081183449,0.41321738617227255
Factor_11_score,0.26714168624359713,0.35194068258987443,0.34962902837190707,0.17789671980990998
Factor_12_score,0.7004617605443059,0.6355244362506574,0.689719937526892,0.27259930039513314
Factor_13_score,0.059209770493149995,0.0008619962870587652,0.04129587334969298,0.033263899408665795
Factor_14_score,0.31936072420567085,0.5142038295277582,1.433247135499942,0.5087675068796074
Factor_15_score,0.0989330742790604,0.0586449176000957,0.2851555452789057,0.1594363975989605
Factor_16_score,1.3036853486494375,1.1328402374909816,0.558650178422269,1.0449118346360846
Factor_17_score,0.011735350221168145,0.0773249575120443,0.19437385759397577,0.058878271312254066
Factor_18_score,0.01950436476224221,0.16598821073725803,0.5181727141043029,0.21049298077057507
Factor_19_score,0.486675424808825,0.4772913563672796,0.2781963265161634,0.40455820305956997
Factor_20_score,0.03676934658115953,0.0635845831761696,0.14503864731071217,0.03608609519070065
Factor_21_score,0.46700796529923205,0.2357375608950285,0.00020515916849991878,0.3141457818862881
Factor_22_score,0.14567347109878764,0.2833712196087361,0.7479510182380107,0.24546422238669408
Factor_23_score,0.3343813119045955,0.5280824721321373,0.8612103062920697,0.013565292400541624
Factor_24_score,0.502167365350787,0.5418096268914787,0.8334466986060161,0.027873920350291494
Factor_25_score,0.3160052276903484,0.3179837216389198,0.46251656158924437,0.03854782752752279
Factor_26_score,0.15960417090408316,0.17791741256712204,0.22579068693591112,0.42538212253608865
Factor_27_score,0.6675108583572364,0.8210698373345436,1.2186583762041812,0.07921113627590726
Factor_28_score,0.9389692427071459,1.219427444177624,2.1638605202790635,0.17731384132905414
Factor_29_score,0.9623364188072386,0.8684561113463347,1.0979131925811192,0.2430138213108468
Factor_30_score,0.33953998294666743,0.4860643880039253,1.15689439105889,0.31599280854384126
Factor_31_score,0.47847149947283796,0.813984831808355,1.2000155126189136,0.08530018189537861
Factor_32_score,0.808445081060077,0.5432907554542084,0.196592084713767,0.8882144112004171
Factor_33_score,0.36067567220672864,0.43269048329724147,0.7794257693453628,0.07260083005814712
Factor_34_score,0.16528938078612,0.2498833263578185,0.42103160666200135,0.017681903741243114
Factor_35_score,0.44781791458934045,0.45649216892775646,0.3899964521511453,0.28365918177772087
Factor_36_score,0.01628245638573586,0.1354341129543803,0.38805550278607504,0.14280076838255545
Factor_37_score,0.244018632343882,0.3486426710520347,0.5463788279766182,0.009541204755531213
Factor_38_score,0.07615712697428376,0.02471013854653673,0.19993495895002783,0.13366561439630756
Factor_39_score,0.23529922244442472,0.12005554320861919,0.10132694741772841,0.24451318045959924
