START_SCL_FEATURES {'scl_records': 198, 'already_done': 0}
SCL_FEATURE_OK 21 S2B_MSIL2A_20200615T153619_N0500_R068_T18NUK_20230402T190351 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=06/tile=MGRS-18NUK/S2B_MSIL2A_20200615T153619_N0500_R068_T18NUK_20230402T190351.parquet
SCL_FEATURE_OK 22 S2B_MSIL2A_20200615T153619_N0500_R068_T18NUJ_20230402T190351 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=06/tile=MGRS-18NUJ/S2B_MSIL2A_20200615T153619_N0500_R068_T18NUJ_20230402T190351.parquet
SCL_FEATURE_OK 23 S2B_MSIL2A_20200715T153619_N0500_R068_T18NUK_20230322T200429 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=07/tile=MGRS-18NUK/S2B_MSIL2A_20200715T153619_N0500_R068_T18NUK_20230322T200429.parquet
SCL_FEATURE_OK 24 S2B_MSIL2A_20200715T153619_N0500_R068_T18NUJ_20230322T200429 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=07/tile=MGRS-18NUJ/S2B_MSIL2A_20200715T153619_N0500_R068_T18NUJ_20230322T200429.parquet
SCL_FEATURE_OK 25 S2A_MSIL2A_20200730T153631_N0500_R068_T18NUJ_20230326T214127 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=07/tile=MGRS-18NUJ/S2A_MSIL2A_20200730T153631_N0500_R068_T18NUJ_20230326T214127.parquet
SCL_FEATURE_OK 26 S2A_MSIL2A_20200809T153631_N0500_R068_T18NUJ_20230317T002445 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=08/tile=MGRS-18NUJ/S2A_MSIL2A_20200809T153631_N0500_R068_T18NUJ_20230317T002445.parquet
SCL_FEATURE_OK 27 S2B_MSIL2A_20200824T153619_N0500_R068_T18NUJ_20230318T182537 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=08/tile=MGRS-18NUJ/S2B_MSIL2A_20200824T153619_N0500_R068_T18NUJ_20230318T182537.parquet
SCL_FEATURE_OK 28 S2B_MSIL2A_20200903T153619_N0500_R068_T18NUK_20230310T082919 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=09/tile=MGRS-18NUK/S2B_MSIL2A_20200903T153619_N0500_R068_T18NUK_20230310T082919.parquet
SCL_FEATURE_OK 29 S2B_MSIL2A_20200903T153619_N0500_R068_T18NUJ_20230310T082919 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=09/tile=MGRS-18NUJ/S2B_MSIL2A_20200903T153619_N0500_R068_T18NUJ_20230310T082919.parquet
SCL_FEATURE_OK 30 S2B_MSIL2A_20200913T153619_N0500_R068_T18NUJ_20230420T092656 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=09/tile=MGRS-18NUJ/S2B_MSIL2A_20200913T153619_N0500_R068_T18NUJ_20230420T092656.parquet
