epoch,train_loss_total,train_loss_infonce,train_loss_sae_recon_total,train_loss_sae_recon_img,train_loss_sae_recon_txt,train_loss_sparsity_l1_total,train_loss_sparsity_l1_img,train_loss_sparsity_l1_txt,train_recall_at_1_image_to_text,train_macro_recall,train_sae_visual_sparsity_ratio,train_sae_visual_recon_mse,train_active_units_mean,val_loss_total,val_loss_infonce,val_loss_sae_recon_total,val_loss_sae_recon_img,val_loss_sae_recon_txt,val_loss_sparsity_l1_total,val_loss_sparsity_l1_img,val_loss_sparsity_l1_txt,val_recall_at_1_image_to_text,val_macro_recall,val_sae_visual_sparsity_ratio,val_sae_visual_recon_mse,val_active_units_mean,test_loss_total,test_loss_infonce,test_loss_sae_recon_total,test_loss_sae_recon_img,test_loss_sae_recon_txt,test_loss_sparsity_l1_total,test_loss_sparsity_l1_img,test_loss_sparsity_l1_txt,test_recall_at_1_image_to_text,test_macro_recall,test_sae_visual_sparsity_ratio,test_sae_visual_recon_mse,test_active_units_mean,train_batch_mean_loss_total,train_batch_mean_loss_infonce,train_batch_mean_loss_sae_recon_total,train_batch_mean_loss_sae_recon_img,train_batch_mean_loss_sae_recon_txt,train_batch_mean_loss_sparsity_l1_total,train_batch_mean_loss_sparsity_l1_img,train_batch_mean_loss_sparsity_l1_txt
1,1.0635654926300049,1.0568066835403442,0.0658460184931755,0.007988306693732738,0.057857710868120193,0.04354804754257202,0.012951674871146679,0.030596373602747917,0.5580000281333923,0.536734684585651,0.8808594346046448,0.007988306693732738,122.00000762939453,1.6181246042251587,1.6114140748977661,0.06537172943353653,0.007514019962400198,0.057857710868120193,0.04331924766302109,0.01272287406027317,0.030596373602747917,0.37358492612838745,0.43876767676767675,0.880859375,0.007514019962400198,122.0,1.269972801208496,1.2632261514663696,0.06572648137807846,0.007868771441280842,0.057857710868120193,0.04350074753165245,0.012904373928904533,0.030596373602747917,0.46808508038520813,0.4813807641633729,0.880859375,0.007868771441280842,121.99999237060547,1.3301074355840683,1.323751725256443,0.06189954839646816,0.009185525530483574,0.05271402280777693,0.041447184048593044,0.0131506038014777,0.028296580305323005
2,0.9673405885696411,0.959608256816864,0.07541795074939728,0.009709622710943222,0.06570833176374435,0.04763546586036682,0.014193211682140827,0.03344225510954857,0.6040000319480896,0.5853512905499002,0.8808594346046448,0.009709622710943222,122.00000762939453,1.686448574066162,1.6787703037261963,0.07488752156496048,0.009179188869893551,0.06570833176374435,0.04739724472165108,0.013954988680779934,0.03344225510954857,0.31698113679885864,0.3678316498316498,0.880859375,0.009179188869893551,122.0,1.1920678615570068,1.1843645572662354,0.07513461261987686,0.009426281787455082,0.06570833176374435,0.04748687148094177,0.014044615440070629,0.03344225510954857,0.591489315032959,0.5995054896794028,0.880859375,0.009426281787455082,121.99999237060547,1.0499929785728455,1.0423122718930244,0.07491475949063897,0.01261356403119862,0.06230119545944035,0.047310978872701526,0.015173844178207219,0.03213713376317173
3,0.7668336033821106,0.7591952085494995,0.07445237785577774,0.010084591805934906,0.06436778604984283,0.048288896679878235,0.014535808935761452,0.033753085881471634,0.675000011920929,0.6585743373068252,0.8808594346046448,0.010084591805934906,122.00000762939453,1.7381638288497925,1.730583667755127,0.07387982308864594,0.009512034244835377,0.06436778604984283,0.048027489334344864,0.01427440345287323,0.033753085881471634,0.3698113262653351,0.42569472502805833,0.880859375,0.009512034244835377,122.0,1.164278507232666,1.1566755771636963,0.07410473376512527,0.00973694771528244,0.06436778604984283,0.04809515178203583,0.014342067763209343,0.033753085881471634,0.5617021322250366,0.5682837066315327,0.880859375,0.00973694771528244,121.99999237060547,0.9343944154679775,0.9260600171983242,0.08132595755159855,0.0136951575987041,0.06763079948723316,0.05044873640872538,0.01590700913220644,0.034541727509349585
4,0.6265637874603271,0.6194531917572021,0.06922291964292526,0.0101192407310009,0.05910367891192436,0.047079410403966904,0.014595165848731995,0.03248424455523491,0.7470000386238098,0.74096722229722,0.8808594346046448,0.0101192407310009,122.00000762939453,1.7355962991714478,1.7285553216934204,0.06853953003883362,0.00943585205823183,0.05910367891192436,0.04674932733178139,0.014265083707869053,0.03248424455523491,0.4377358555793762,0.4817934904601572,0.880859375,0.00943585205823183,122.0,1.2330574989318848,1.2259984016418457,0.06871920078992844,0.009615520015358925,0.05910367891192436,0.046776920557022095,0.014292674139142036,0.03248424455523491,0.5319148898124695,0.5439016249451032,0.880859375,0.009615520015358925,121.99999237060547,0.8255454637110233,0.8179787173867226,0.07372822146862745,0.014016919827554375,0.05971130193211138,0.048480316530913115,0.016196407726965845,0.03228390868753195
5,0.49542102217674255,0.48867833614349365,0.06559186428785324,0.010063411667943,0.05552845075726509,0.04587605595588684,0.01451822929084301,0.03135782480239868,0.8250000476837158,0.8267128351749082,0.8808594346046448,0.010063411667943,122.00000762939453,1.8830941915512085,1.876425862312317,0.06486119329929352,0.009332745335996151,0.05552845075726509,0.04552779346704483,0.014169966802001,0.03135782480239868,0.44528302550315857,0.4508686868686868,0.880859375,0.009332745335996151,122.0,1.1494598388671875,1.142777681350708,0.06500110775232315,0.009472657926380634,0.05552845075726509,0.045515187084674835,0.014157364144921303,0.03135782480239868,0.5829787254333496,0.5854984628897673,0.880859375,0.009472657926380634,121.99999237060547,0.7124310843646526,0.7051273994147778,0.07111953850835562,0.013951036613434553,0.057168501894921064,0.04793304577469826,0.016110922559164464,0.03182212356477976
6,0.4363040030002594,0.4299924969673157,0.061332475394010544,0.010504696518182755,0.05082777887582779,0.04456514120101929,0.01470603421330452,0.029859108850359917,0.8250000476837158,0.8304352160710728,0.8808594346046448,0.010504696518182755,122.00000762939453,2.031493663787842,2.0252761840820312,0.060410454869270325,0.009582675993442535,0.05082777887582779,0.04412151128053665,0.014262404292821884,0.029859108850359917,0.43018868565559387,0.43242424242424243,0.880859375,0.009582675993442535,122.0,1.2360175848007202,1.2297728061676025,0.06068160757422447,0.009853829629719257,0.05082777887582779,0.04416504502296448,0.014305934309959412,0.029859108850359917,0.5446808338165283,0.5466227492314448,0.880859375,0.009853829629719257,121.99999237060547,0.6200225036591291,0.6131146568804979,0.067208890337497,0.014201041660271585,0.053007849026471376,0.04673781106248498,0.01616314862621948,0.030574662145227194
7,0.33160436153411865,0.32568734884262085,0.05743894726037979,0.010425643995404243,0.0470133014023304,0.04327685385942459,0.014593174681067467,0.028683681041002274,0.8720000386238098,0.8691332663466191,0.8808594346046448,0.010425643995404243,122.00000762939453,2.3315372467041016,2.325725793838501,0.05640174075961113,0.009388438425958157,0.0470133014023304,0.04277009516954422,0.014086415991187096,0.028683681041002274,0.43018868565559387,0.46545230078563415,0.880859375,0.009388438425958157,122.0,1.3216928243637085,1.3158481121063232,0.0567331463098526,0.009719845838844776,0.0470133014023304,0.04284251108765602,0.014158830977976322,0.028683681041002274,0.5787233710289001,0.5891321914800176,0.880859375,0.009719845838844776,121.99999237060547,0.5210485775023699,0.5145552325993776,0.06312009482644498,0.014212028763722628,0.04890806647017598,0.04533308930695057,0.016117971972562373,0.02921511756721884
8,0.2757260501384735,0.27006369829177856,0.054927095770835876,0.010942446067929268,0.04398464784026146,0.042406342923641205,0.01481395773589611,0.027592385187745094,0.9010000228881836,0.8993532485898234,0.8808594346046448,0.010942446067929268,122.00000762939453,2.6237194538116455,2.6181800365448,0.05372181907296181,0.009737171232700348,0.04398464784026146,0.04181139916181564,0.014219015836715698,0.027592385187745094,0.3962264060974121,0.43386531986531984,0.880859375,0.009737171232700348,122.0,1.5093729496002197,1.5037845373153687,0.05420549958944321,0.010220852680504322,0.04398464784026146,0.04197559505701065,0.014383211731910706,0.027592385187745094,0.5659574270248413,0.5721220904699166,0.880859375,0.010220852680504322,121.99999237060547,0.4328619111329317,0.42667271196842194,0.06011511804535985,0.01461761788232252,0.04549750033766031,0.044420924270525575,0.016327757854014635,0.028093166300095618
9,0.2341352254152298,0.22854310274124146,0.05424104630947113,0.011397259309887886,0.042843785136938095,0.042002275586128235,0.014857479371130466,0.027144795283675194,0.9160000681877136,0.9123246782245331,0.8808594346046448,0.011397259309887886,122.00000762939453,2.76120662689209,2.755751848220825,0.052892040461301804,0.010048254393041134,0.042843785136938095,0.041340652853250504,0.01419585756957531,0.027144795283675194,0.4000000059604645,0.42414365881032545,0.880859375,0.010048254393041134,122.0,1.6036454439163208,1.5981330871582031,0.053462181240320206,0.010618397034704685,0.042843785136938095,0.041550055146217346,0.014405259862542152,0.027144795283675194,0.5191489458084106,0.5255520421607378,0.880859375,0.010618397034704685,121.99999237060547,0.4458026420325041,0.4398184260353446,0.05809771502390504,0.01517506584059447,0.042922649066895247,0.043611370492726564,0.016372203244827688,0.027239166665822268
10,0.18253573775291443,0.17676706612110138,0.05597398057579994,0.011367276310920715,0.04460670426487923,0.0428202748298645,0.01488939393311739,0.027930879965424538,0.9430000185966492,0.9415824654300706,0.8808594346046448,0.011367276310920715,122.00000762939453,2.864062547683716,2.858433723449707,0.054602790623903275,0.009996085427701473,0.04460670426487923,0.042133256793022156,0.014202377758920193,0.027930879965424538,0.4000000059604645,0.43343434343434345,0.880859375,0.009996085427701473,122.0,1.784158706665039,1.7784817218780518,0.055078450590372086,0.010471745394170284,0.04460670426487923,0.04228653758764267,0.014355656690895557,0.027930879965424538,0.5234042406082153,0.5303443126921388,0.880859375,0.010471745394170284,121.99999237060547,0.3508589859120548,0.34474984649568796,0.05932800332084298,0.015290312294382602,0.044037691317498684,0.044085752684623,0.016356026753783226,0.027729725698009133
