scope,pollutant,horizon_days,base_rmse,base_mae,base_r2,base_n,corrected_rmse,corrected_mae,corrected_r2,corrected_n,coverage_95_sigma_kriging
pollutant_horizon,SO2,1,3.8655543030482655,2.364179156397102,0.7928616999573314,403,3.898059171624576,2.4601108868766355,0.7893634634308284,403,0.9429280397022333
pollutant_horizon,SO2,3,3.8459032074315087,2.4265985231541523,0.7899085540716947,403,3.80067502953583,2.544947564758586,0.7948208881934694,403,0.9255583126550868
pollutant_horizon,SO2,7,3.877460224865211,2.4159048675965074,0.801108153918042,411,3.813041251267486,2.423571586883647,0.8076619169833259,411,0.9440389294403893
pollutant_horizon,O3,1,8.579906560136529,6.496784473407294,0.4397826905786746,481,8.593252795991974,6.488296664505559,0.43803847403087215,481,0.9293139293139293
pollutant_horizon,O3,3,7.517894970794615,5.922810461302142,0.5053420489641383,479,7.337577407417818,5.759605387504802,0.5287863334320682,479,0.9373695198329853
pollutant_horizon,O3,7,7.924420681462485,6.262158425045416,0.4860606374721148,474,7.916231403330003,6.203934846619496,0.48712232205973627,474,0.9345991561181435
pollutant,SO2,all,3.863089760413722,2.4023174243560557,0.7948198194786698,1217,3.8373423526298343,2.475863991962344,0.7975457477063322,1217,0.9375513557929335
pollutant,O3,all,8.020489362979127,6.227505325065663,0.4758743071578676,1434,7.966647974724149,6.150897345564583,0.4828875789556478,1434,0.9337517433751743
all,SO2+O3,all,6.453517862478623,4.4714684804170055,0.8025079117946723,2651,6.410246483002979,4.463792256415612,0.8051474350037879,2651,0.9354960392304791
