sample_index,end_date,target_date,pollutant,horizon_days,grid_id,lat,lon,prediction_convlstm,kriged_residual,prediction_corrected,kriging_variance,kriging_status
118,2024-12-16,2024-12-17,NO2,1,g_001_000,3.3075,-76.5975,15.996166229248049,-4.227928638458252,11.768237590789797,59.08142852783203,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_001,3.3075,-76.5925,14.748656272888184,-4.270349025726318,10.478307247161863,57.699745178222656,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_002,3.3075,-76.58749999999999,13.981258392333984,-4.312255382537842,9.669003009796144,56.387508392333984,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_003,3.3075,-76.5825,13.656954765319824,-4.353248119354248,9.303706645965576,55.15151596069336,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_004,3.3075,-76.5775,13.62790584564209,-4.392873287200928,9.235032558441162,53.99905776977539,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_005,3.3075,-76.57249999999999,13.73264503479004,-4.430620193481445,9.302024841308594,52.937801361083984,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_006,3.3075,-76.5675,13.79213047027588,-4.465932846069336,9.326197624206545,51.97568893432617,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_007,3.3075,-76.5625,13.716333389282228,-4.498221397399902,9.218111991882324,51.12075805664063,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_008,3.3075,-76.55749999999999,13.574774742126465,-4.526882171630859,9.047892570495604,50.38090515136719,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_009,3.3075,-76.5525,13.45412540435791,-4.551322937011719,8.902802467346191,49.76362228393555,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_010,3.3075,-76.5475,13.352529525756836,-4.570992469787598,8.781537055969238,49.275665283203125,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_011,3.3075,-76.54249999999999,13.383462905883787,-4.585415840148926,8.798047065734863,48.9227294921875,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_012,3.3075,-76.5375,13.576327323913574,-4.594225883483887,8.982101440429688,48.70915222167969,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_013,3.3075,-76.5325,13.872634887695312,-4.597188949584961,9.275445938110352,48.63765335083008,ok
118,2024-12-16,2024-12-17,NO2,1,g_001_014,3.3075,-76.5275,14.147832870483398,-4.594225883483887,9.553606986999512,48.70915222167969,ok
