pollutant,horizon_days,bin,distance_min,distance_max,distance_mean,semivariance,n_pairs
O3,1,0,0.000684462696783017,0.02242361568080153,0.010846856604476568,59.80850396652779,1075
O3,1,1,0.02242361568080153,0.044162768664820044,0.03449470161871374,62.10384374931149,1869
O3,1,2,0.044162768664820044,0.06590192164883855,0.05396770391611904,53.342299188730145,2701
O3,1,3,0.06590192164883855,0.08764107463285707,0.07955045107692182,66.67499111960412,3506
O3,1,4,0.08764107463285707,0.10938022761687559,0.09720333497646705,76.50733364227528,3352
O3,1,5,0.10938022761687559,0.1311193806008941,0.1188043520577544,84.32356907246383,2921
O3,1,6,0.1311193806008941,0.1528585335849126,0.14164494456816834,77.82988962509442,1715
O3,1,7,0.1528585335849126,0.17459768656893113,0.16301027893959616,89.52649267076477,1258
O3,1,8,0.17459768656893113,0.19633683955294964,0.1845693489349169,76.82321754784141,755
O3,1,9,0.19633683955294964,0.21807599253696816,0.2063082960150903,93.1528853465799,498
O3,1,10,0.21807599253696816,0.23981514552098668,0.22662545345723595,68.38582377017092,253
O3,1,11,0.23981514552098668,0.26155429850500517,0.24534355002547117,49.23590025943889,48
O3,3,0,0.000684462696783017,0.022268801033933205,0.01067948953181921,51.45466251347629,1050
O3,3,1,0.022268801033933205,0.04385313937108339,0.03430227407633201,54.54707565516745,1854
O3,3,2,0.04385313937108339,0.06543747770823358,0.05375480798955772,47.26341119627825,2647
O3,3,3,0.06543747770823358,0.08702181604538377,0.0789956972356318,49.302863976282985,3361
O3,3,4,0.08702181604538377,0.10860615438253396,0.0965686627935378,56.67343214481605,3417
O3,3,5,0.10860615438253396,0.13019049271968414,0.11817925301097712,54.07169755454036,2902
O3,3,6,0.13019049271968414,0.15177483105683434,0.14069108707317673,61.96328056826034,1730
O3,3,7,0.15177483105683434,0.17335916939398452,0.16204032281703118,59.8942082786433,1304
O3,3,8,0.17335916939398452,0.1949435077311347,0.18300197169483076,59.23100672736586,792
O3,3,9,0.1949435077311347,0.2165278460682849,0.20524844401308873,63.81806688355791,540
O3,3,10,0.2165278460682849,0.23811218440543508,0.22547009405453225,66.74962809333903,300
O3,3,11,0.23811218440543508,0.25969652274258526,0.24406875274734222,55.776263853909484,48
O3,7,0,0.000684462696783017,0.022011328758180487,0.011074136356935504,57.739893507592825,1081
O3,7,1,0.022011328758180487,0.04333819481957796,0.03416509940545681,52.27624171176069,1719
O3,7,2,0.04333819481957796,0.06466506088097543,0.05330481180355614,47.23094163718279,2670
O3,7,3,0.06466506088097543,0.0859919269423729,0.07812428617769121,58.5564997214858,3161
O3,7,4,0.0859919269423729,0.10731879300377037,0.09538015715072985,64.72301992107347,3615
O3,7,5,0.10731879300377037,0.12864565906516784,0.11722933330375189,69.302103954125,2918
O3,7,6,0.12864565906516784,0.1499725251265653,0.13898722967980587,66.86865950722135,1755
O3,7,7,0.1499725251265653,0.17129939118796278,0.1597565262362501,69.70176932105709,1311
O3,7,8,0.17129939118796278,0.19262625724936025,0.18096941882940468,69.0130393737511,802
O3,7,9,0.19262625724936025,0.21395312331075772,0.20272429837430145,75.60514264186878,496
O3,7,10,0.21395312331075772,0.2352799893721552,0.22257280766691487,73.42291549519437,343
O3,7,11,0.2352799893721552,0.25660685543355266,0.24165162288534722,70.77404523595413,72
SO2,1,0,0.000684462696783017,0.020996873581390327,0.009782882065485572,9.242991237855081,860
SO2,1,1,0.020996873581390327,0.04130928446599764,0.03393921378204068,17.95795418431378,2055
SO2,1,2,0.04130928446599764,0.06162169535060495,0.05173907657526675,11.684527414741424,3720
SO2,1,3,0.06162169535060495,0.08193410623521226,0.07205923974129112,13.882766937682666,3734
SO2,1,4,0.08193410623521226,0.10224651711981957,0.09121654379973144,14.98001994886628,2538
SO2,1,5,0.10224651711981957,0.12255892800442689,0.11197333997432792,15.982871874071506,1942
SO2,1,6,0.12255892800442689,0.1428713388890342,0.1317742770974959,17.005906793044755,1572
SO2,1,7,0.1428713388890342,0.1631837497736415,0.15277048786015177,18.20686899819933,1263
SO2,1,8,0.1631837497736415,0.1834961606582488,0.17313329368614905,16.207136402802778,911
SO2,1,9,0.1834961606582488,0.20380857154285612,0.1938027160960605,23.46925643357858,725
SO2,1,10,0.20380857154285612,0.22412098242746342,0.21215835841626376,19.10293515201619,491
SO2,1,11,0.22412098242746342,0.24443339331207076,0.23044552130572163,27.396735912465925,136
SO2,3,0,0.000684462696783017,0.021139941481238406,0.009746037672115702,11.38564882310025,847
SO2,3,1,0.021139941481238406,0.041595420265693794,0.033927671000845316,16.38091057173376,2072
SO2,3,2,0.041595420265693794,0.06205089905014918,0.051960385045655685,10.914038578507046,3746
SO2,3,3,0.06205089905014918,0.08250637783460457,0.0726336307893603,12.507284256708608,3714
SO2,3,4,0.08250637783460457,0.10296185661905996,0.09210241180106188,11.706563311786386,2579
SO2,3,5,0.10296185661905996,0.12341733540351535,0.11312994518278809,13.108263297697178,1978
SO2,3,6,0.12341733540351535,0.14387281418797074,0.1328576180302045,14.884918712917537,1544
