contaminante,fecha_min,fecha_max,n_registros,n_validos,n_estaciones,media,mediana,minimo,maximo,pct_validos
NO2,2020-01-01,2024-12-31 23:00:00,178340,26259,9,14.058131214117255,12.14743759537716,0.0,91.85794528392788,14.724122462711675
O3,2020-01-01,2024-12-31 23:00:00,340070,191257,10,28.550142539866737,14.90990268999706,0.0,290.409591473719,56.240479901196814
SO2,2020-01-01,2024-12-31 23:00:00,284736,132415,10,5.864049325740561,2.853954182723746,0.0,841.9688500352983,46.504481344122276
