scope,pollutant,horizon_days,base_rmse,base_mae,base_r2,base_n,corrected_rmse,corrected_mae,corrected_r2,corrected_n,coverage_95_sigma_kriging
pollutant_horizon,SO2,1,3.8655543030482655,2.364179156397102,0.7928616999573314,403,3.86959005568268,2.404497379851035,0.7924289571952841,403,0.9379652605459057
pollutant_horizon,SO2,3,3.8459032074315087,2.4265985231541523,0.7899085540716947,403,3.712694233450363,2.3547555212665365,0.8042102114560941,403,0.9205955334987593
pollutant_horizon,SO2,7,3.877460224865211,2.4159048675965074,0.801108153918042,411,3.81451025307383,2.4170823259185243,0.8075136891520428,411,0.9343065693430657
pollutant_horizon,O3,1,8.579906560136529,6.496784473407294,0.4397826905786746,481,8.530837303510221,6.410610287459212,0.44617223326699307,481,0.9355509355509356
pollutant_horizon,O3,3,7.517894970794615,5.922810461302142,0.5053420489641383,479,7.370266169093642,5.7903271305914625,0.5245784862670573,479,0.9394572025052192
pollutant_horizon,O3,7,7.924420681462485,6.262158425045416,0.4860606374721148,474,7.923716473031541,6.188425890790662,0.4861519764773229,474,0.9409282700421941
pollutant,SO2,all,3.863089760413722,2.4023174243560557,0.7948198194786698,1217,3.7995863748598353,2.3922758875126497,0.8015100819900751,1217,0.9309778142974527
pollutant,O3,all,8.020489362979127,6.227505325065663,0.4758743071578676,1434,7.9566802395896925,6.129974976329124,0.4841807740585867,1434,0.9386331938633193
all,SO2+O3,all,6.453517862478623,4.4714684804170055,0.8025079117946723,2651,6.393202284237276,4.414101799758152,0.8061822440751334,2651,0.9351188230856281
