split,n,recall_at_1,macro_recall,sparsity_ratio,recon_mse,active_units_mean,active_units_median,dead_units_pct
train,1000,0.9810000658035278,0.9808459305571062,0.8808594346046448,0.016191797330975533,122.00000762939453,122.0,5.859375
val,265,0.4830188751220703,0.4696139169472503,0.880859375,0.013364373706281185,122.0,122.0,12.890625
test,235,0.548936128616333,0.5506719367588933,0.880859375,0.014307372272014618,121.99999237060547,122.0,13.18359375
