split,candidate_class,unit,mean_abs_activation,active_frequency
train,contaminacion_alta_NO2,367,0.16056494414806366,0.8915094339622641
train,contaminacion_alta_NO2,220,0.1360454112291336,0.8301886792452831
train,contaminacion_alta_NO2,262,0.12949755787849426,0.6933962264150944
train,contaminacion_alta_NO2,600,0.12643831968307495,0.8160377358490566
train,contaminacion_alta_NO2,618,0.11766468733549118,0.7311320754716981
train,contaminacion_alta_NO2,350,0.11417264491319656,0.6886792452830188
train,contaminacion_alta_NO2,745,0.11243251711130142,0.6745283018867925
train,contaminacion_alta_NO2,819,0.11217349767684937,0.6933962264150944
train,contaminacion_alta_NO2,591,0.10666665434837341,0.6273584905660378
train,contaminacion_alta_NO2,836,0.1009492501616478,0.7264150943396226
train,contaminacion_alta_NO2,703,0.09532853215932846,0.7264150943396226
train,contaminacion_alta_NO2,158,0.09084917604923248,0.6415094339622641
train,contaminacion_alta_NO2,883,0.09052010625600815,0.6509433962264151
train,contaminacion_alta_NO2,630,0.09046774357557297,0.5518867924528302
train,contaminacion_alta_NO2,834,0.09011388570070267,0.6415094339622641
train,contaminacion_alta_NO2,541,0.08849655836820602,0.5660377358490566
train,contaminacion_alta_NO2,1012,0.08764519542455673,0.6650943396226415
train,contaminacion_alta_NO2,429,0.0865355059504509,0.589622641509434
train,contaminacion_alta_NO2,377,0.08545687794685364,0.6650943396226415
train,contaminacion_alta_NO2,868,0.08431019634008408,0.6179245283018868
train,contaminacion_alta_NO2,787,0.08423327654600143,0.6037735849056604
train,contaminacion_alta_NO2,4,0.08280307054519653,0.5849056603773585
train,contaminacion_alta_NO2,576,0.0806775838136673,0.6226415094339622
train,contaminacion_alta_NO2,37,0.0802755206823349,0.6556603773584906
train,contaminacion_alta_NO2,998,0.07906604558229446,0.5518867924528302
train,contaminacion_alta_SO2,711,0.20077595114707947,0.925
train,contaminacion_alta_SO2,998,0.16451707482337952,0.885
train,contaminacion_alta_SO2,758,0.1609751135110855,0.885
train,contaminacion_alta_SO2,485,0.15667448937892914,0.9
train,contaminacion_alta_SO2,600,0.1416407823562622,0.805
train,contaminacion_alta_SO2,49,0.13840356469154358,0.75
train,contaminacion_alta_SO2,692,0.13630256056785583,0.72
train,contaminacion_alta_SO2,709,0.13271471858024597,0.755
train,contaminacion_alta_SO2,1,0.12857112288475037,0.66
train,contaminacion_alta_SO2,432,0.11961343884468079,0.785
train,contaminacion_alta_SO2,566,0.11775889992713928,0.725
train,contaminacion_alta_SO2,476,0.11271420121192932,0.775
train,contaminacion_alta_SO2,191,0.10654977709054947,0.75
train,contaminacion_alta_SO2,386,0.10555924475193024,0.69
train,contaminacion_alta_SO2,422,0.10404635220766068,0.68
train,contaminacion_alta_SO2,513,0.10320881009101868,0.705
train,contaminacion_alta_SO2,1018,0.10085957497358322,0.705
train,contaminacion_alta_SO2,1019,0.09946299344301224,0.565
train,contaminacion_alta_SO2,321,0.0991162359714508,0.61
train,contaminacion_alta_SO2,841,0.09651559591293335,0.615
train,contaminacion_alta_SO2,936,0.09500997513532639,0.685
train,contaminacion_alta_SO2,489,0.09262099117040634,0.69
train,contaminacion_alta_SO2,75,0.09239727258682251,0.64
train,contaminacion_alta_SO2,989,0.09172436594963074,0.67
train,contaminacion_alta_SO2,635,0.09161707758903503,0.595
train,ozono_anomalo,1,0.22165276110172272,0.9289940828402367
train,ozono_anomalo,669,0.1794981062412262,0.8875739644970414
train,ozono_anomalo,541,0.1765563040971756,0.8579881656804734
train,ozono_anomalo,606,0.16957210004329681,0.8106508875739645
train,ozono_anomalo,432,0.16485534608364105,0.834319526627219
train,ozono_anomalo,270,0.16054917871952057,0.8875739644970414
train,ozono_anomalo,323,0.16051019728183746,0.834319526627219
train,ozono_anomalo,251,0.15740828216075897,0.7455621301775148
train,ozono_anomalo,566,0.15188373625278473,0.8402366863905325
train,ozono_anomalo,974,0.15064503252506256,0.8047337278106509
train,ozono_anomalo,660,0.14870455861091614,0.7100591715976331
train,ozono_anomalo,692,0.1452067494392395,0.7218934911242604
train,ozono_anomalo,182,0.1438215672969818,0.7396449704142012
train,ozono_anomalo,377,0.13297559320926666,0.8224852071005917
train,ozono_anomalo,978,0.12668335437774658,0.727810650887574
train,ozono_anomalo,960,0.1250550001859665,0.7869822485207101
train,ozono_anomalo,531,0.12102379649877548,0.7218934911242604
train,ozono_anomalo,106,0.12060073763132095,0.863905325443787
train,ozono_anomalo,191,0.11707652360200882,0.834319526627219
train,ozono_anomalo,455,0.11527471244335175,0.7633136094674556
train,ozono_anomalo,711,0.11502496153116226,0.6153846153846154
train,ozono_anomalo,1019,0.11026185750961304,0.6331360946745562
train,ozono_anomalo,98,0.10969523340463638,0.6627218934911243
train,ozono_anomalo,757,0.10808521509170532,0.7810650887573964
train,ozono_anomalo,201,0.10359755903482437,0.6863905325443787
train,suelo_urbano,568,0.4427357614040375,0.9761904761904762
train,suelo_urbano,3,0.4168686270713806,0.9428571428571428
train,suelo_urbano,652,0.36181607842445374,0.9333333333333333
train,suelo_urbano,379,0.357107549905777,0.8809523809523809
train,suelo_urbano,928,0.34981489181518555,0.8428571428571429
train,suelo_urbano,5,0.34407657384872437,0.9857142857142858
train,suelo_urbano,899,0.3408679664134979,0.9761904761904762
train,suelo_urbano,442,0.32779544591903687,0.9904761904761905
train,suelo_urbano,288,0.3173132538795471,0.7047619047619048
train,suelo_urbano,26,0.3153148889541626,0.8333333333333334
train,suelo_urbano,350,0.3145239055156708,0.9952380952380953
train,suelo_urbano,4,0.3088322579860687,0.9095238095238095
train,suelo_urbano,956,0.2942773103713989,0.9095238095238095
train,suelo_urbano,140,0.29398199915885925,0.919047619047619
train,suelo_urbano,913,0.2849750220775604,0.8666666666666667
train,suelo_urbano,411,0.27005091309547424,0.9666666666666667
train,suelo_urbano,747,0.26575058698654175,0.9047619047619048
train,suelo_urbano,53,0.26060017943382263,0.7571428571428571
train,suelo_urbano,713,0.25151264667510986,0.9380952380952381
train,suelo_urbano,861,0.24989725649356842,0.9
train,suelo_urbano,397,0.24892523884773254,0.7714285714285715
train,suelo_urbano,524,0.24671949446201324,0.7952380952380952
train,suelo_urbano,265,0.24148449301719666,0.9047619047619048
train,suelo_urbano,375,0.2406938076019287,0.9047619047619048
train,suelo_urbano,562,0.23308007419109344,0.8666666666666667
train,vegetacion_densa,269,0.25269514322280884,0.9808612440191388
train,vegetacion_densa,961,0.23155243694782257,0.9856459330143541
train,vegetacion_densa,275,0.2286694347858429,0.9569377990430622
train,vegetacion_densa,612,0.21555785834789276,0.9904306220095693
train,vegetacion_densa,524,0.20199324190616608,0.9425837320574163
train,vegetacion_densa,204,0.1854732781648636,0.937799043062201
train,vegetacion_densa,605,0.17643383145332336,0.937799043062201
train,vegetacion_densa,229,0.1759970486164093,0.9569377990430622
train,vegetacion_densa,674,0.172546848654747,0.8133971291866029
train,vegetacion_densa,650,0.16868723928928375,0.8373205741626795
train,vegetacion_densa,88,0.16248643398284912,0.9090909090909091
train,vegetacion_densa,981,0.15995967388153076,0.8277511961722488
train,vegetacion_densa,681,0.1564982682466507,0.9569377990430622
train,vegetacion_densa,534,0.15583397448062897,0.8851674641148325
train,vegetacion_densa,583,0.15313230454921722,0.784688995215311
train,vegetacion_densa,346,0.15158268809318542,0.7416267942583732
train,vegetacion_densa,655,0.15047168731689453,0.8755980861244019
train,vegetacion_densa,374,0.1420648694038391,0.861244019138756
train,vegetacion_densa,355,0.1414128690958023,0.8373205741626795
train,vegetacion_densa,127,0.14130808413028717,0.8086124401913876
train,vegetacion_densa,568,0.1367773711681366,0.69377990430622
train,vegetacion_densa,898,0.13408087193965912,0.7703349282296651
train,vegetacion_densa,291,0.12923097610473633,0.7368421052631579
train,vegetacion_densa,219,0.12758269906044006,0.722488038277512
train,vegetacion_densa,566,0.12264878302812576,0.7511961722488039
val,contaminacion_alta_NO2,541,0.11294513195753098,0.7727272727272727
val,contaminacion_alta_NO2,350,0.11116369068622589,0.6818181818181818
val,contaminacion_alta_NO2,618,0.10586584359407425,0.7045454545454546
val,contaminacion_alta_NO2,600,0.1046222373843193,0.6136363636363636
val,contaminacion_alta_NO2,669,0.09917039424180984,0.6363636363636364
val,contaminacion_alta_NO2,220,0.09654287993907928,0.6590909090909091
val,contaminacion_alta_NO2,836,0.09401614218950272,0.6818181818181818
val,contaminacion_alta_NO2,262,0.09290377795696259,0.5227272727272727
val,contaminacion_alta_NO2,321,0.09224574267864227,0.6590909090909091
val,contaminacion_alta_NO2,703,0.09076347947120667,0.7045454545454546
val,contaminacion_alta_NO2,367,0.08845166862010956,0.5681818181818182
val,contaminacion_alta_NO2,323,0.08813710510730743,0.6363636363636364
val,contaminacion_alta_NO2,485,0.08184308558702469,0.5909090909090909
val,contaminacion_alta_NO2,745,0.07975232601165771,0.5681818181818182
val,contaminacion_alta_NO2,191,0.07854510843753815,0.6363636363636364
val,contaminacion_alta_NO2,819,0.07705240696668625,0.5454545454545454
val,contaminacion_alta_NO2,429,0.07575103640556335,0.5454545454545454
val,contaminacion_alta_NO2,758,0.07538633048534393,0.5
val,contaminacion_alta_NO2,787,0.07485424727201462,0.5454545454545454
val,contaminacion_alta_NO2,998,0.0733720064163208,0.5454545454545454
val,contaminacion_alta_NO2,530,0.07280708849430084,0.5
val,contaminacion_alta_NO2,317,0.07240147143602371,0.5227272727272727
val,contaminacion_alta_NO2,37,0.0708455964922905,0.5681818181818182
val,contaminacion_alta_NO2,377,0.06989933550357819,0.5681818181818182
val,contaminacion_alta_NO2,591,0.0684790313243866,0.4772727272727273
val,contaminacion_alta_SO2,568,0.13160547614097595,0.66
val,contaminacion_alta_SO2,269,0.12828566133975983,0.6
val,contaminacion_alta_SO2,524,0.11643747240304947,0.58
val,contaminacion_alta_SO2,566,0.1142478659749031,0.7
val,contaminacion_alta_SO2,275,0.10884537547826767,0.5
val,contaminacion_alta_SO2,204,0.10766908526420593,0.54
val,contaminacion_alta_SO2,4,0.10761550813913345,0.62
val,contaminacion_alta_SO2,127,0.10617014765739441,0.68
val,contaminacion_alta_SO2,612,0.10556712001562119,0.5
val,contaminacion_alta_SO2,432,0.095333032310009,0.64
val,contaminacion_alta_SO2,747,0.09146394580602646,0.6
val,contaminacion_alta_SO2,5,0.0910201370716095,0.6
val,contaminacion_alta_SO2,981,0.0901988297700882,0.44
val,contaminacion_alta_SO2,300,0.08911506831645966,0.5
val,contaminacion_alta_SO2,355,0.08867987990379333,0.58
val,contaminacion_alta_SO2,961,0.08848726004362106,0.5
val,contaminacion_alta_SO2,374,0.0880376398563385,0.48
val,contaminacion_alta_SO2,956,0.08683442324399948,0.54
val,contaminacion_alta_SO2,605,0.08669547736644745,0.5
val,contaminacion_alta_SO2,681,0.08566317707300186,0.56
val,contaminacion_alta_SO2,650,0.08531120419502258,0.48
val,contaminacion_alta_SO2,379,0.0840793326497078,0.52
val,contaminacion_alta_SO2,655,0.08353596925735474,0.52
val,contaminacion_alta_SO2,674,0.08256585896015167,0.5
val,contaminacion_alta_SO2,819,0.08254095911979675,0.58
val,ozono_anomalo,1,0.16773521900177002,0.7901234567901234
val,ozono_anomalo,432,0.15115101635456085,0.8518518518518519
val,ozono_anomalo,566,0.13518892228603363,0.8148148148148148
val,ozono_anomalo,711,0.11243735253810883,0.6049382716049383
val,ozono_anomalo,323,0.1084059625864029,0.7654320987654321
val,ozono_anomalo,692,0.10679119825363159,0.5925925925925926
val,ozono_anomalo,974,0.10012853890657425,0.7654320987654321
val,ozono_anomalo,191,0.09829103946685791,0.7283950617283951
val,ozono_anomalo,476,0.09759671241044998,0.7407407407407407
val,ozono_anomalo,757,0.0945659726858139,0.691358024691358
val,ozono_anomalo,251,0.09239421039819717,0.6049382716049383
val,ozono_anomalo,270,0.08758038282394409,0.6296296296296297
val,ozono_anomalo,541,0.08645042032003403,0.6049382716049383
val,ozono_anomalo,321,0.08396443724632263,0.5925925925925926
val,ozono_anomalo,269,0.08262685686349869,0.5061728395061729
val,ozono_anomalo,758,0.08201359957456589,0.5432098765432098
val,ozono_anomalo,606,0.08123868703842163,0.5308641975308642
val,ozono_anomalo,106,0.08014295250177383,0.6296296296296297
val,ozono_anomalo,660,0.07930905371904373,0.5308641975308642
val,ozono_anomalo,669,0.07917434722185135,0.5925925925925926
val,ozono_anomalo,1019,0.07691638171672821,0.4691358024691358
val,ozono_anomalo,519,0.07566050440073013,0.5308641975308642
val,ozono_anomalo,531,0.07483541965484619,0.5432098765432098
val,ozono_anomalo,841,0.07132396101951599,0.4444444444444444
val,ozono_anomalo,961,0.07105881720781326,0.48148148148148145
val,suelo_urbano,568,0.3239710330963135,0.7333333333333333
val,suelo_urbano,3,0.314357727766037,0.7555555555555555
val,suelo_urbano,350,0.27310076355934143,0.8888888888888888
val,suelo_urbano,5,0.2689112722873688,0.8222222222222222
val,suelo_urbano,652,0.2618544399738312,0.6666666666666666
val,suelo_urbano,899,0.26038995385169983,0.7777777777777778
val,suelo_urbano,379,0.25293397903442383,0.6222222222222222
val,suelo_urbano,928,0.2509748339653015,0.4666666666666667
val,suelo_urbano,288,0.24337787926197052,0.4444444444444444
val,suelo_urbano,442,0.24282728135585785,0.8222222222222222
val,suelo_urbano,4,0.24086612462997437,0.8222222222222222
val,suelo_urbano,26,0.23545706272125244,0.5777777777777777
val,suelo_urbano,140,0.2325192093849182,0.7777777777777778
val,suelo_urbano,956,0.21076327562332153,0.6
val,suelo_urbano,913,0.20890024304389954,0.6888888888888889
val,suelo_urbano,411,0.2016863226890564,0.7555555555555555
val,suelo_urbano,713,0.19616885483264923,0.7555555555555555
val,suelo_urbano,747,0.19553494453430176,0.6
val,suelo_urbano,397,0.18940412998199463,0.5111111111111111
val,suelo_urbano,524,0.18531487882137299,0.6
val,suelo_urbano,861,0.17995817959308624,0.6222222222222222
val,suelo_urbano,265,0.17899534106254578,0.6444444444444445
val,suelo_urbano,53,0.17745812237262726,0.4888888888888889
val,suelo_urbano,375,0.1772083193063736,0.7333333333333333
val,suelo_urbano,552,0.1767578125,0.6
val,vegetacion_densa,269,0.18423838913440704,0.8444444444444444
val,vegetacion_densa,961,0.15937988460063934,0.8666666666666667
val,vegetacion_densa,612,0.14309771358966827,0.8222222222222222
val,vegetacion_densa,275,0.13896143436431885,0.6444444444444445
val,vegetacion_densa,524,0.12978066504001617,0.6888888888888889
