pollutant,horizon_days,bin,distance_min,distance_max,distance_mean,semivariance,n_pairs
NO2,1,0,0.000684462696783017,0.01865160848733743,0.009028752357456949,19.158233159164293,556
NO2,1,1,0.01865160848733743,0.036618754277891845,0.02721865641551047,20.351143850078202,477
NO2,1,2,0.036618754277891845,0.054585900068446255,0.04528205028863663,22.747430089135978,424
NO2,1,3,0.054585900068446255,0.07255304585900067,0.06303643843883627,27.841201324515026,372
NO2,1,4,0.07255304585900067,0.09052019164955509,0.08136367354142722,27.945036465025634,318
NO2,1,5,0.09052019164955509,0.1084873374401095,0.09860932036568348,23.206709066565484,258
NO2,1,6,0.1084873374401095,0.1264544832306639,0.11739513053681433,31.247606603889455,231
NO2,1,7,0.1264544832306639,0.14442162902121833,0.13479460043983818,38.50087570024637,169
NO2,1,8,0.14442162902121833,0.16238877481177275,0.15272127731931692,48.08935315213741,159
NO2,1,9,0.16238877481177275,0.18035592060232716,0.17065936573123433,58.46573627733698,129
NO2,1,10,0.18035592060232716,0.19832306639288158,0.18713717139452937,65.74589214258657,54
NO2,1,11,0.19832306639288158,0.216290212183436,0.20497025219817827,29.41738441222289,13
NO2,3,0,0.000684462696783017,0.018195300022815417,0.00851802485146626,16.00384027317102,513
NO2,3,1,0.018195300022815417,0.03570613734884782,0.026574641109372316,17.152003791321164,454
NO2,3,2,0.03570613734884782,0.05321697467488022,0.04448428630291391,22.50029455552087,402
NO2,3,3,0.05321697467488022,0.07072781200091262,0.062064452007913516,23.447154121042253,365
NO2,3,4,0.07072781200091262,0.08823864932694502,0.07895636191324078,24.629445203477243,286
NO2,3,5,0.08823864932694502,0.10574948665297743,0.09607531672542714,26.162267371754716,265
NO2,3,6,0.10574948665297743,0.12326032397900982,0.11511986547350454,28.889533165149178,243
NO2,3,7,0.12326032397900982,0.14077116130504222,0.1315513564626335,38.17943109092561,173
NO2,3,8,0.14077116130504222,0.15828199863107462,0.14920839428630223,40.52524965333518,153
NO2,3,9,0.15828199863107462,0.175792835957107,0.16688155611798228,54.735150822785094,129
NO2,3,10,0.175792835957107,0.1933036732831394,0.1833915571081896,77.05271698096081,77
NO2,3,11,0.1933036732831394,0.21081451060917183,0.19947198591962453,88.31720448265526,21
NO2,7,0,0.000684462696783017,0.018195300022815417,0.008622410809507892,28.208883634758433,602
NO2,7,1,0.018195300022815417,0.03570613734884782,0.02676998370750204,26.358873706663598,539
NO2,7,2,0.03570613734884782,0.05321697467488022,0.04452121393718807,32.04165258750654,466
NO2,7,3,0.05321697467488022,0.07072781200091262,0.06194614478818962,33.73752158102282,422
NO2,7,4,0.07072781200091262,0.08823864932694502,0.0792556517485359,38.78077845525591,347
NO2,7,5,0.08823864932694502,0.10574948665297743,0.09617572816803778,28.199815785818256,314
NO2,7,6,0.10574948665297743,0.12326032397900982,0.1150501115179717,28.389769621400458,263
NO2,7,7,0.12326032397900982,0.14077116130504222,0.13170614675726977,48.603539639668156,194
NO2,7,8,0.14077116130504222,0.15828199863107462,0.14924024640657085,48.16971782701083,175
NO2,7,9,0.15828199863107462,0.175792835957107,0.16688700739782283,49.49281455502046,146
