grid_id,lat,lon,NO2_t1_pred,NO2_t1_var,NO2_t3_pred,NO2_t3_var,NO2_t7_pred,NO2_t7_var,SO2_t1_pred,SO2_t1_var,SO2_t3_pred,SO2_t3_var,SO2_t7_pred,SO2_t7_var,O3_t1_pred,O3_t1_var,O3_t3_pred,O3_t3_var,O3_t7_pred,O3_t7_var,cluster,mean_prediction_profile,max_prediction_profile,mean_uncertainty_profile
g_001_000,3.3075,-76.5975,11.768237590789797,59.08142852783203,8.640517234802246,55.4069938659668,10.554168701171877,55.60676574707031,10.093140602111816,208.09263610839844,9.653950214385986,214.24473571777344,10.388051509857178,217.3756866455078,25.229990005493164,95.48184967041016,23.174448013305664,75.21269989013672,18.66277027130127,83.96865844726562,3,14.240586015913221,25.229990005493164,118.27460606892903
g_001_001,3.3075,-76.5925,10.478307247161863,57.699745178222656,8.071222305297852,54.079376220703125,9.202508449554443,54.7098503112793,6.529669761657715,204.00965881347656,6.4691267013549805,210.0392303466797,6.695124387741089,213.1082000732422,30.21188223361969,94.6920394897461,28.249623104929924,74.8464584350586,23.82936143875122,83.2625961303711,2,14.41520284778542,30.21188223361969,116.27190611097548
g_001_002,3.3075,-76.58749999999999,9.669003009796144,56.387508392333984,8.028011798858643,52.81843566894531,8.839577198028564,53.85893630981445,4.18731689453125,200.17498779296875,4.425602436065674,206.0893402099609,4.38813853263855,209.1000061035156,32.889806032180786,93.9386978149414,31.055110678076744,74.49706268310547,27.100085258483887,82.58914947509766,2,14.509183537628916,32.889806032180786,114.38379160563152
g_001_003,3.3075,-76.5825,9.303706645965576,55.15151596069336,8.062609672546387,51.63071441650391,8.790849208831787,53.05835723876953,2.8559532165527344,196.5961456298828,3.268247365951538,202.4027709960937,3.1034834384918213,205.35891723632807,33.85972738265991,93.2252960205078,32.157006964087486,74.16604614257812,28.51875638961792,81.95145416259766,2,14.43559336496724,33.85972738265991,112.61569086710612
g_001_004,3.3075,-76.5775,9.235032558441162,53.99905776977539,8.023330688476562,50.523216247558594,8.754494190216064,52.312721252441406,2.4156856536865234,193.2796936035156,2.912469387054444,198.9862823486328,2.682466506958008,201.8917999267578,33.77189028263092,92.55555725097656,32.23267391324043,73.85504913330078,28.64056158065796,81.35286712646484,2,14.296511640151342,33.77189028263092,110.97291607326932
g_001_005,3.3075,-76.57249999999999,9.302024841308594,52.937801361083984,7.935823917388916,49.50331497192383,8.689741611480713,51.62686538696289,2.57531476020813,190.23117065429688,3.029503583908081,195.84559631347656,2.802475452423096,198.7044219970703,33.24486994743347,91.9333953857422,31.82231773436069,73.56578063964844,28.13024425506592,80.79691314697266,2,14.170257344841957,33.24486994743347,109.4605844285753
g_001_006,3.3075,-76.5675,9.326197624206545,51.97568893432617,7.854289054870605,48.578651428222656,8.627869606018066,51.00577545166016,2.821441888809204,187.4550018310547,3.1702535152435303,192.9852294921875,3.0117077827453613,195.8014068603516,33.05508577823639,91.3628387451172,31.591660365462303,73.29999542236328,27.801105976104736,80.2872314453125,2,14.13995684352186,33.05508577823639,108.0835355122884
g_001_007,3.3075,-76.5625,9.218111991882324,51.12075805664063,7.8069000244140625,47.75696563720703,8.57870864868164,50.45446014404297,2.665276527404785,184.9543914794922,2.9481663703918457,190.4084930419922,2.849884271621704,193.1861114501953,33.40449106693268,90.84789276123048,31.79412866383791,73.05945587158203,28.105722427368164,79.82744598388672,2,14.152376665837235,33.40449106693268,106.84621938069661
g_001_008,3.3075,-76.55749999999999,9.047892570495604,50.38090515136719,7.840603828430176,47.04585647583008,8.582103729248047,49.97782897949219,2.1888091564178467,182.73147583007807,2.461544990539551,188.1175537109375,2.385908603668213,190.8607177734375,34.07877278327942,90.3924331665039,32.35903509892523,72.84583282470703,28.885267734527588,79.42105865478516,2,14.20332649950352,34.07877278327942,105.75262917412653
g_001_009,3.3075,-76.5525,8.902802467346191,49.76362228393555,7.882115364074707,46.45252990722656,8.601091384887695,49.58051300048828,1.660226583480835,180.78726196289065,1.93863582611084,186.11346435546875,1.9203393459320068,188.82632446289065,34.618805289268494,89.99996185302734,32.84384701214731,72.66067504882812,29.61680126190185,79.07123565673828,2,14.220518281683326,34.618805289268494,104.80617650349934
