contaminante,n_total,n_valido,n_nulo,cobertura_pct,media,mediana,p95,max
no2_insitu,278618,26259,252359,9.4247,14.058131214117255,12.14743759537716,33.24561868208486,91.85794528392788
so2_insitu,278618,132415,146203,47.5256,5.864049325740561,2.853954182723746,16.73097910789425,841.9688500352983
o3_insitu,278618,191257,87361,68.6449,28.55014253986673,14.90990268999706,98.13070165179644,290.409591473719
