fuente,lat,lon
DAGMA/SISAIRE,3.416366,-76.549613
DAGMA/SISAIRE,3.42826,-76.466584
DAGMA/SISAIRE,3.457317,-76.506539
DAGMA/SISAIRE,3.455514,-76.530978
DAGMA/SISAIRE,3.488218,-76.518058
DAGMA/SISAIRE,3.304517,-76.531252
DAGMA/SISAIRE,3.457128,-76.502303
DAGMA/SISAIRE,3.377911,-76.533811
DAGMA/SISAIRE,3.417183,-76.49496
Sentinel-5P,3.545689582824707,-76.59583282470703
Sentinel-5P,3.545689582824707,-76.5875015258789
Sentinel-5P,3.545689582824707,-76.57917022705078
Sentinel-5P,3.545689582824707,-76.57083129882812
Sentinel-5P,3.545689582824707,-76.5625
Sentinel-5P,3.545689582824707,-76.55416870117188
Sentinel-5P,3.545689582824707,-76.54582977294922
Sentinel-5P,3.545689582824707,-76.5374984741211
Sentinel-5P,3.545689582824707,-76.52916717529297
Sentinel-5P,3.545689582824707,-76.52083587646484
Sentinel-5P,3.545689582824707,-76.51249694824219
Sentinel-5P,3.545689582824707,-76.50416564941406
Sentinel-5P,3.545689582824707,-76.49583435058594
Sentinel-5P,3.545689582824707,-76.48750305175781
Sentinel-5P,3.545689582824707,-76.47916412353516
Sentinel-5P,3.545689582824707,-76.47083282470703
Sentinel-5P,3.545689582824707,-76.4625015258789
Sentinel-5P,3.545689582824707,-76.45417022705078
Sentinel-5P,3.545689582824707,-76.44583129882812
Sentinel-5P,3.545689582824707,-76.4375
Sentinel-5P,3.545689582824707,-76.42916870117188
Sentinel-5P,3.545689582824707,-76.42082977294922
Sentinel-5P,3.545689582824707,-76.4124984741211
Sentinel-5P,3.545689582824707,-76.40416717529297
Sentinel-5P,3.537069082260132,-76.59583282470703
Sentinel-5P,3.537069082260132,-76.5875015258789
Sentinel-5P,3.537069082260132,-76.57917022705078
Sentinel-5P,3.537069082260132,-76.57083129882812
Sentinel-5P,3.537069082260132,-76.5625
Sentinel-5P,3.537069082260132,-76.55416870117188
Sentinel-5P,3.537069082260132,-76.54582977294922
Sentinel-5P,3.537069082260132,-76.5374984741211
Sentinel-5P,3.537069082260132,-76.52916717529297
Sentinel-5P,3.537069082260132,-76.52083587646484
Sentinel-5P,3.537069082260132,-76.51249694824219
Sentinel-5P,3.537069082260132,-76.50416564941406
Sentinel-5P,3.537069082260132,-76.49583435058594
Sentinel-5P,3.537069082260132,-76.48750305175781
Sentinel-5P,3.537069082260132,-76.47916412353516
Sentinel-5P,3.537069082260132,-76.47083282470703
Sentinel-5P,3.537069082260132,-76.4625015258789
Sentinel-5P,3.537069082260132,-76.45417022705078
Sentinel-5P,3.537069082260132,-76.44583129882812
Sentinel-5P,3.537069082260132,-76.4375
Sentinel-5P,3.537069082260132,-76.42916870117188
Sentinel-5P,3.537069082260132,-76.42082977294922
Sentinel-5P,3.537069082260132,-76.4124984741211
Sentinel-5P,3.537069082260132,-76.40416717529297
Sentinel-5P,3.5284483432769775,-76.59583282470703
Sentinel-5P,3.5284483432769775,-76.5875015258789
Sentinel-5P,3.5284483432769775,-76.57917022705078
Sentinel-5P,3.5284483432769775,-76.57083129882812
Sentinel-5P,3.5284483432769775,-76.5625
Sentinel-5P,3.5284483432769775,-76.55416870117188
Sentinel-5P,3.5284483432769775,-76.54582977294922
Sentinel-5P,3.5284483432769775,-76.5374984741211
Sentinel-5P,3.5284483432769775,-76.52916717529297
Sentinel-5P,3.5284483432769775,-76.52083587646484
Sentinel-5P,3.5284483432769775,-76.51249694824219
Sentinel-5P,3.5284483432769775,-76.50416564941406
Sentinel-5P,3.5284483432769775,-76.49583435058594
Sentinel-5P,3.5284483432769775,-76.48750305175781
Sentinel-5P,3.5284483432769775,-76.47916412353516
Sentinel-5P,3.5284483432769775,-76.47083282470703
Sentinel-5P,3.5284483432769775,-76.4625015258789
Sentinel-5P,3.5284483432769775,-76.45417022705078
Sentinel-5P,3.5284483432769775,-76.44583129882812
Sentinel-5P,3.5284483432769775,-76.4375
Sentinel-5P,3.5284483432769775,-76.42916870117188
Sentinel-5P,3.5284483432769775,-76.42082977294922
Sentinel-5P,3.5284483432769775,-76.4124984741211
Sentinel-5P,3.5284483432769775,-76.40416717529297
Sentinel-5P,3.5198276042938232,-76.59583282470703
Sentinel-5P,3.5198276042938232,-76.5875015258789
Sentinel-5P,3.5198276042938232,-76.57917022705078
Sentinel-5P,3.5198276042938232,-76.57083129882812
Sentinel-5P,3.5198276042938232,-76.5625
Sentinel-5P,3.5198276042938232,-76.55416870117188
Sentinel-5P,3.5198276042938232,-76.54582977294922
Sentinel-5P,3.5198276042938232,-76.5374984741211
Sentinel-5P,3.5198276042938232,-76.52916717529297
Sentinel-5P,3.5198276042938232,-76.52083587646484
Sentinel-5P,3.5198276042938232,-76.51249694824219
Sentinel-5P,3.5198276042938232,-76.50416564941406
Sentinel-5P,3.5198276042938232,-76.49583435058594
Sentinel-5P,3.5198276042938232,-76.48750305175781
Sentinel-5P,3.5198276042938232,-76.47916412353516
Sentinel-5P,3.5198276042938232,-76.47083282470703
Sentinel-5P,3.5198276042938232,-76.4625015258789
Sentinel-5P,3.5198276042938232,-76.45417022705078
Sentinel-5P,3.5198276042938232,-76.44583129882812
Sentinel-5P,3.5198276042938232,-76.4375
Sentinel-5P,3.5198276042938232,-76.42916870117188
Sentinel-5P,3.5198276042938232,-76.42082977294922
Sentinel-5P,3.5198276042938232,-76.4124984741211
Sentinel-5P,3.5198276042938232,-76.40416717529297
Sentinel-5P,3.511206865310669,-76.59583282470703
Sentinel-5P,3.511206865310669,-76.5875015258789
Sentinel-5P,3.511206865310669,-76.57917022705078
Sentinel-5P,3.511206865310669,-76.57083129882812
Sentinel-5P,3.511206865310669,-76.5625
Sentinel-5P,3.511206865310669,-76.55416870117188
Sentinel-5P,3.511206865310669,-76.54582977294922
Sentinel-5P,3.511206865310669,-76.5374984741211
Sentinel-5P,3.511206865310669,-76.52916717529297
Sentinel-5P,3.511206865310669,-76.52083587646484
Sentinel-5P,3.511206865310669,-76.51249694824219
Sentinel-5P,3.511206865310669,-76.50416564941406
Sentinel-5P,3.511206865310669,-76.49583435058594
Sentinel-5P,3.511206865310669,-76.48750305175781
Sentinel-5P,3.511206865310669,-76.47916412353516
Sentinel-5P,3.511206865310669,-76.47083282470703
Sentinel-5P,3.511206865310669,-76.4625015258789
Sentinel-5P,3.511206865310669,-76.45417022705078
Sentinel-5P,3.511206865310669,-76.44583129882812
Sentinel-5P,3.511206865310669,-76.4375
Sentinel-5P,3.511206865310669,-76.42916870117188
Sentinel-5P,3.511206865310669,-76.42082977294922
Sentinel-5P,3.511206865310669,-76.4124984741211
Sentinel-5P,3.511206865310669,-76.40416717529297
Sentinel-5P,3.5025861263275146,-76.59583282470703
Sentinel-5P,3.5025861263275146,-76.5875015258789
Sentinel-5P,3.5025861263275146,-76.57917022705078
Sentinel-5P,3.5025861263275146,-76.57083129882812
Sentinel-5P,3.5025861263275146,-76.5625
Sentinel-5P,3.5025861263275146,-76.55416870117188
Sentinel-5P,3.5025861263275146,-76.54582977294922
Sentinel-5P,3.5025861263275146,-76.5374984741211
Sentinel-5P,3.5025861263275146,-76.52916717529297
Sentinel-5P,3.5025861263275146,-76.52083587646484
Sentinel-5P,3.5025861263275146,-76.51249694824219
Sentinel-5P,3.5025861263275146,-76.50416564941406
Sentinel-5P,3.5025861263275146,-76.49583435058594
Sentinel-5P,3.5025861263275146,-76.48750305175781
Sentinel-5P,3.5025861263275146,-76.47916412353516
Sentinel-5P,3.5025861263275146,-76.47083282470703
Sentinel-5P,3.5025861263275146,-76.4625015258789
Sentinel-5P,3.5025861263275146,-76.45417022705078
Sentinel-5P,3.5025861263275146,-76.44583129882812
Sentinel-5P,3.5025861263275146,-76.4375
Sentinel-5P,3.5025861263275146,-76.42916870117188
Sentinel-5P,3.5025861263275146,-76.42082977294922
Sentinel-5P,3.5025861263275146,-76.4124984741211
Sentinel-5P,3.5025861263275146,-76.40416717529297
Sentinel-5P,3.4939656257629395,-76.59583282470703
Sentinel-5P,3.4939656257629395,-76.5875015258789
Sentinel-5P,3.4939656257629395,-76.57917022705078
Sentinel-5P,3.4939656257629395,-76.57083129882812
Sentinel-5P,3.4939656257629395,-76.5625
Sentinel-5P,3.4939656257629395,-76.55416870117188
Sentinel-5P,3.4939656257629395,-76.54582977294922
Sentinel-5P,3.4939656257629395,-76.5374984741211
Sentinel-5P,3.4939656257629395,-76.52916717529297
Sentinel-5P,3.4939656257629395,-76.52083587646484
Sentinel-5P,3.4939656257629395,-76.51249694824219
Sentinel-5P,3.4939656257629395,-76.50416564941406
Sentinel-5P,3.4939656257629395,-76.49583435058594
Sentinel-5P,3.4939656257629395,-76.48750305175781
Sentinel-5P,3.4939656257629395,-76.47916412353516
Sentinel-5P,3.4939656257629395,-76.47083282470703
Sentinel-5P,3.4939656257629395,-76.4625015258789
Sentinel-5P,3.4939656257629395,-76.45417022705078
Sentinel-5P,3.4939656257629395,-76.44583129882812
Sentinel-5P,3.4939656257629395,-76.4375
Sentinel-5P,3.4939656257629395,-76.42916870117188
Sentinel-5P,3.4939656257629395,-76.42082977294922
Sentinel-5P,3.4939656257629395,-76.4124984741211
Sentinel-5P,3.4939656257629395,-76.40416717529297
Sentinel-5P,3.485344886779785,-76.59583282470703
Sentinel-5P,3.485344886779785,-76.5875015258789
Sentinel-5P,3.485344886779785,-76.57917022705078
Sentinel-5P,3.485344886779785,-76.57083129882812
Sentinel-5P,3.485344886779785,-76.5625
Sentinel-5P,3.485344886779785,-76.55416870117188
Sentinel-5P,3.485344886779785,-76.54582977294922
Sentinel-5P,3.485344886779785,-76.5374984741211
Sentinel-5P,3.485344886779785,-76.52916717529297
Sentinel-5P,3.485344886779785,-76.52083587646484
Sentinel-5P,3.485344886779785,-76.51249694824219
Sentinel-5P,3.485344886779785,-76.50416564941406
Sentinel-5P,3.485344886779785,-76.49583435058594
Sentinel-5P,3.485344886779785,-76.48750305175781
Sentinel-5P,3.485344886779785,-76.47916412353516
Sentinel-5P,3.485344886779785,-76.47083282470703
Sentinel-5P,3.485344886779785,-76.4625015258789
Sentinel-5P,3.485344886779785,-76.45417022705078
Sentinel-5P,3.485344886779785,-76.44583129882812
Sentinel-5P,3.485344886779785,-76.4375
Sentinel-5P,3.485344886779785,-76.42916870117188
Sentinel-5P,3.485344886779785,-76.42082977294922
Sentinel-5P,3.485344886779785,-76.4124984741211
Sentinel-5P,3.485344886779785,-76.40416717529297
Sentinel-5P,3.476724147796631,-76.59583282470703
Sentinel-5P,3.476724147796631,-76.5875015258789
Sentinel-5P,3.476724147796631,-76.57917022705078
Sentinel-5P,3.476724147796631,-76.57083129882812
Sentinel-5P,3.476724147796631,-76.5625
Sentinel-5P,3.476724147796631,-76.55416870117188
Sentinel-5P,3.476724147796631,-76.54582977294922
Sentinel-5P,3.476724147796631,-76.5374984741211
Sentinel-5P,3.476724147796631,-76.52916717529297
Sentinel-5P,3.476724147796631,-76.52083587646484
Sentinel-5P,3.476724147796631,-76.51249694824219
Sentinel-5P,3.476724147796631,-76.50416564941406
Sentinel-5P,3.476724147796631,-76.49583435058594
Sentinel-5P,3.476724147796631,-76.48750305175781
Sentinel-5P,3.476724147796631,-76.47916412353516
Sentinel-5P,3.476724147796631,-76.47083282470703
Sentinel-5P,3.476724147796631,-76.4625015258789
Sentinel-5P,3.476724147796631,-76.45417022705078
Sentinel-5P,3.476724147796631,-76.44583129882812
Sentinel-5P,3.476724147796631,-76.4375
Sentinel-5P,3.476724147796631,-76.42916870117188
Sentinel-5P,3.476724147796631,-76.42082977294922
Sentinel-5P,3.476724147796631,-76.4124984741211
Sentinel-5P,3.476724147796631,-76.40416717529297
Sentinel-5P,3.4681034088134766,-76.59583282470703
Sentinel-5P,3.4681034088134766,-76.5875015258789
Sentinel-5P,3.4681034088134766,-76.57917022705078
Sentinel-5P,3.4681034088134766,-76.57083129882812
Sentinel-5P,3.4681034088134766,-76.5625
Sentinel-5P,3.4681034088134766,-76.55416870117188
Sentinel-5P,3.4681034088134766,-76.54582977294922
Sentinel-5P,3.4681034088134766,-76.5374984741211
Sentinel-5P,3.4681034088134766,-76.52916717529297
Sentinel-5P,3.4681034088134766,-76.52083587646484
Sentinel-5P,3.4681034088134766,-76.51249694824219
Sentinel-5P,3.4681034088134766,-76.50416564941406
Sentinel-5P,3.4681034088134766,-76.49583435058594
Sentinel-5P,3.4681034088134766,-76.48750305175781
Sentinel-5P,3.4681034088134766,-76.47916412353516
Sentinel-5P,3.4681034088134766,-76.47083282470703
Sentinel-5P,3.4681034088134766,-76.4625015258789
Sentinel-5P,3.4681034088134766,-76.45417022705078
Sentinel-5P,3.4681034088134766,-76.44583129882812
Sentinel-5P,3.4681034088134766,-76.4375
Sentinel-5P,3.4681034088134766,-76.42916870117188
Sentinel-5P,3.4681034088134766,-76.42082977294922
Sentinel-5P,3.4681034088134766,-76.4124984741211
Sentinel-5P,3.4681034088134766,-76.40416717529297
Sentinel-5P,3.4594826698303223,-76.59583282470703
Sentinel-5P,3.4594826698303223,-76.5875015258789
Sentinel-5P,3.4594826698303223,-76.57917022705078
Sentinel-5P,3.4594826698303223,-76.57083129882812
Sentinel-5P,3.4594826698303223,-76.5625
Sentinel-5P,3.4594826698303223,-76.55416870117188
Sentinel-5P,3.4594826698303223,-76.54582977294922
Sentinel-5P,3.4594826698303223,-76.5374984741211
Sentinel-5P,3.4594826698303223,-76.52916717529297
Sentinel-5P,3.4594826698303223,-76.52083587646484
Sentinel-5P,3.4594826698303223,-76.51249694824219
Sentinel-5P,3.4594826698303223,-76.50416564941406
Sentinel-5P,3.4594826698303223,-76.49583435058594
Sentinel-5P,3.4594826698303223,-76.48750305175781
Sentinel-5P,3.4594826698303223,-76.47916412353516
Sentinel-5P,3.4594826698303223,-76.47083282470703
Sentinel-5P,3.4594826698303223,-76.4625015258789
Sentinel-5P,3.4594826698303223,-76.45417022705078
Sentinel-5P,3.4594826698303223,-76.44583129882812
Sentinel-5P,3.4594826698303223,-76.4375
Sentinel-5P,3.4594826698303223,-76.42916870117188
Sentinel-5P,3.4594826698303223,-76.42082977294922
Sentinel-5P,3.4594826698303223,-76.4124984741211
Sentinel-5P,3.4594826698303223,-76.40416717529297
Sentinel-5P,3.450862169265747,-76.59583282470703
Sentinel-5P,3.450862169265747,-76.5875015258789
Sentinel-5P,3.450862169265747,-76.57917022705078
Sentinel-5P,3.450862169265747,-76.57083129882812
Sentinel-5P,3.450862169265747,-76.5625
Sentinel-5P,3.450862169265747,-76.55416870117188
Sentinel-5P,3.450862169265747,-76.54582977294922
Sentinel-5P,3.450862169265747,-76.5374984741211
Sentinel-5P,3.450862169265747,-76.52916717529297
Sentinel-5P,3.450862169265747,-76.52083587646484
Sentinel-5P,3.450862169265747,-76.51249694824219
Sentinel-5P,3.450862169265747,-76.50416564941406
Sentinel-5P,3.450862169265747,-76.49583435058594
Sentinel-5P,3.450862169265747,-76.48750305175781
Sentinel-5P,3.450862169265747,-76.47916412353516
Sentinel-5P,3.450862169265747,-76.47083282470703
Sentinel-5P,3.450862169265747,-76.4625015258789
Sentinel-5P,3.450862169265747,-76.45417022705078
Sentinel-5P,3.450862169265747,-76.44583129882812
Sentinel-5P,3.450862169265747,-76.4375
