archivo,ruta,extension,size_mb,fecha_inferida,carpeta_padre,modificado,anio,mes
era5_land_cali_2020_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_01.nc,.nc,0.2242,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_02.nc,.nc,0.2176,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_03.nc,.nc,0.2251,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_04.nc,.nc,0.2212,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_05.nc,.nc,0.2249,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_06.nc,.nc,0.2206,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_07.nc,.nc,0.2255,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_08.nc,.nc,0.2247,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_09.nc,.nc,0.2209,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_10.nc,.nc,0.2261,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_11.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_11.nc,.nc,0.2216,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_12.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_12.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_01.nc,.nc,0.2253,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_02.nc,.nc,0.2148,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_03.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_04.nc,.nc,0.2221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_05.nc,.nc,0.2249,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
