variable,n_registros,n_validos,porcentaje_nulos,media,desviacion,min,p25,mediana,p75,max
s5p_no2_column,1270896,1270896,0.0,1.0546229064280428e-05,1.8800164998584545e-05,-2.791579026961699e-05,0.0,0.0,1.911429899337236e-05,0.00019959433120675385
s5p_so2_column,1270896,1270896,0.0,2.421597732319968e-05,0.000191083906815298,-0.0009965435601770878,0.0,0.0,0.0,0.011142055504024029
s5p_o3_column,1270896,1270896,0.0,0.11081116386573157,0.0248147683260239,0.0,0.11129330098628998,0.11542877554893494,0.11978604085743427,0.14729873836040497
s5p_qa_no2,1270896,1270896,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75
s5p_qa_so2,1270896,1270896,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75
s5p_qa_o3,1270896,1270896,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75
