,no2_insitu,no2_insitu,no2_insitu,so2_insitu,so2_insitu,so2_insitu,o3_insitu,o3_insitu,o3_insitu
,mean,median,count,mean,median,count,mean,median,count
hour,,,,,,,,,
0,16.05802076741034,15.4193480312837,1101,4.467206004425845,2.304109798896235,5527,9.901699358063677,8.396629409629922,8016
1,12.702080053559886,12.03461309758728,1085,4.248116221622289,2.068462205827302,5480,9.821855000120165,8.278919651550998,8016
2,10.302132639295216,9.684102726964763,1051,4.054159306046236,1.911363810448013,5431,9.674713203374003,8.180828186485227,8021
3,8.772067614242191,8.254992421626273,1014,3.9281306926580837,1.832814612758369,5393,9.352037991841032,7.925790377314225,8006
4,7.8725019488942705,7.314788273377266,1024,3.8908249251993876,1.780448480965273,5387,8.839947713874492,7.48437878451826,7992
5,7.884001270335495,7.2489739829998365,1038,3.9879847261592047,1.832814612758369,5405,7.93405799645214,6.670219624472367,7971
6,9.676488276550241,9.22340269432275,1094,4.580011468188306,2.277926732999688,5507,6.868876228134004,5.787396438880436,7969
7,11.781221835394096,11.404676318260446,1054,5.599907828300557,2.880137248620294,5565,6.685232947053624,5.610831801762051,7950
8,16.214013975685088,15.2313072016339,1045,6.958215732264347,3.560896961930546,5583,8.612714472603313,7.533424517051144,7922
9,19.26219228911145,17.39377674260661,1096,8.809012050560447,4.582036531895922,5574,15.938928285724833,13.79165998824728,7901
10,15.762547865075419,13.92442343556778,1114,10.16913166863818,5.73409143134404,5547,30.460142647566805,28.25034193894179,7892
11,12.04056967045196,10.26702929887915,1127,9.566820204545174,5.891189826723328,5516,48.15327203171107,46.407072122615844,7860
12,9.838870870934214,8.555857749065956,1106,8.1886583454891,5.262796245206173,5544,64.38840562222684,63.17090350235595,7937
13,9.16006353003943,8.292600587556233,1094,7.832366324336122,4.686768795482115,5569,75.80859174244121,73.88249148753805,7934
14,9.015021500419978,8.292600587556233,1071,7.039334530088888,4.398755070620086,5589,81.22408184422768,78.80668303383972,7981
15,9.406489572616286,8.706290412785796,1078,6.648741989324038,3.927459884482219,5566,76.7757720604146,73.9021097805512,7959
16,9.620562021164007,8.997753698742988,1100,6.108065123832634,3.272883237068516,5521,63.42952111521968,57.3442704774492,7949
17,11.111735568641718,10.04138030329938,1120,5.365400497645348,2.80158805093065,5486,47.63404378519583,40.74719458832091,7959
18,15.194618711377332,13.99023772594521,1145,5.019207531652576,2.539757391965169,5493,32.53702067695686,27.612747416014287,8000
19,20.302234151821658,18.76647479905016,1151,4.798505952251285,2.461208194275524,5523,21.070857489071454,18.20577591620694,7959
20,23.0843930353977,22.15120973274658,1149,4.690414840203491,2.408842062482428,5533,16.347027599151506,13.88975145331305,8004
21,25.41437676405207,24.52052418633408,1142,4.785077909645996,2.487391260172072,5549,13.265712355495015,11.24128189653725,8012
22,24.009812589122067,23.29825879361037,1134,4.959653129900563,2.618306589654813,5571,11.405162436508782,9.691436748498088,8027
23,19.777720305143774,19.12375237538478,1126,4.779788237024683,2.539757391965169,5556,10.374245803224753,8.906705027971926,8020
