variable,n_registros,n_validos,porcentaje_nulos,media,min,mediana,max
s2_n_grids_available_day,129,129,0.0,1754.6666666666667,2.0,1982.0,2000.0
s2_cloud_pct_mean,129,129,0.0,40.10522515070246,4.3875,44.11,59.78
s2_valid_pixel_pct_mean,129,129,0.0,92.97615868992249,12.268518,94.899605,99.9995
s2_ndvi_mean,129,129,0.0,0.2528508875503876,0.08858099,0.25479355,0.45015562
s2_bsi_mean,129,129,0.0,-0.05720148996124031,-0.1742055,-0.05642033,-0.007509712
s2_ndbi_mean,129,129,0.0,-0.08748752711627907,-0.30227727,-0.08495935,-0.050284803
s2_urban_index_mean,129,129,0.0,-0.07234450862790698,-0.23824137,-0.070563786,-0.03036762
anio,129,129,0.0,2022.2093023255813,2020.0,2022.0,2024.0
