,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
no2_insitu,26259.0,14.058131214117255,10.052476563777228,0.0,0.0,1.184657226793748,6.957510697042645,12.14743759537716,18.97331971166494,33.24561868208486,46.55590076801631,91.85794528392788
so2_insitu,132415.0,5.864049325740561,13.248597771701682,0.0,0.0,0.0,1.178237965344666,2.853954182723746,6.074471287999165,16.73097910789425,79.59652032550632,841.9688500352983
o3_insitu,191257.0,28.55014253986673,31.75824735312868,0.0,0.05885487903946206,1.51060856201286,6.964494019669679,14.90990268999706,39.67,98.13070165179644,135.4839315488417,290.409591473719
temperature_2m_c,278618.0,20.01123809814453,2.240504741668701,12.9140625,15.7982177734375,16.941680908203125,18.369171142578125,19.542327880859375,21.600921630859375,24.1272766113281,25.4288330078125,27.73126220703125
relative_humidity_pct,278618.0,83.2602767944336,8.027613639831543,46.80291748046875,60.873301658630375,67.50472259521484,78.67597961425781,85.544677734375,89.01978302001953,93.02615089416503,95.18048095703125,98.83174896240234
wind_speed_10m,278618.0,0.8390381932258606,0.3590738773345947,0.0061686052940785885,0.12532502830028533,0.27941861748695374,0.5912957191467285,0.8177272379398346,1.0571396350860596,1.4836150407791138,1.7966239809990072,2.5023837089538574
total_precipitation_mm_hourly,278611.0,0.4332677125930786,0.6779359579086304,0.0,0.0009884238243103027,0.008040390908718109,0.06035614013671875,0.2067403793334961,0.5333013534545898,1.6147384643554688,3.3383712768554688,12.075098037719727
surface_solar_radiation_downwards_j_m2,278618.0,5028078.0,6676940.0,0.0,0.0,0.0,0.0,291907.34375,10214796.0,18437840.0,21183592.0,26256092.0
aod_047_interp,278618.0,0.3814061915657035,0.12153025575726352,0.0,0.07613603022688638,0.16027204454956612,0.29715102704300284,0.3974999452894192,0.4736573513778724,0.5519202852180275,0.5923506261180679,0.8069346705710102
aod_055_interp,278618.0,0.27679980439580393,0.08896528791849989,0.0,0.054524443869632684,0.11542034735769771,0.21485020008939992,0.2882991035259015,0.34411563510897875,0.40213309481216464,0.43271914132379247,0.5925936163982425
s2_ndvi,269609.0,0.20147721469402313,0.12480589002370834,-0.06255452334880829,-0.03216969966888428,0.019230246543884277,0.11424802988767624,0.17496426403522491,0.28477904200553894,0.4321848750114441,0.47503378987312317,0.5016188621520996
s2_ndbi,269609.0,-0.014656811952590942,0.06342382729053497,-0.2712426781654358,-0.17875990271568298,-0.1320754587650299,-0.0559527613222599,0.002433222718536854,0.029242726042866707,0.07303141057491302,0.10277436673641205,0.16912907361984253
s2_bsi,269609.0,-0.007413569837808609,0.04882189631462097,-0.1732405722141266,-0.13039952516555786,-0.09358063340187073,-0.04298396408557892,-0.00010013834980782121,0.029203874990344048,0.06181257963180542,0.08680485188961029,0.15823020040988922
s2_urban_index,269609.0,-0.011035190895199776,0.055738694965839386,-0.2222416251897812,-0.15457971394062042,-0.11113855242729187,-0.04856687784194946,-0.0003719497472047806,0.028380397707223892,0.06876664608716965,0.0922984927892685,0.15850569307804108
s2_vegetation_fraction,269609.0,0.2834261953830719,0.3203526437282562,0.0,0.0,0.0,0.02222222276031971,0.12999999523162842,0.5061728358268738,0.9259259104728699,0.9629629850387573,0.9876543283462524
s2_cloud_pct,269609.0,38.119896671272116,14.30311328561272,3.43,5.45,12.923822,27.8,40.21,49.79,56.58,58.67,59.63
s2_valid_pixel_pct,269609.0,97.87957000732422,10.577302932739258,1.2345678806304932,37.03703689575195,88.88888549804688,100.0,100.0,100.0,100.0,100.0,100.0
s2_temporal_distance_days,269609.0,6.4676846841166284,6.2354244459987545,0.0,0.0,0.0,2.0,4.0,9.0,20.0,28.0,30.0
