target,covariable,n_pares_validos,correlacion_pearson,abs_correlacion
no2_insitu,surface_solar_radiation_downwards_j_m2,26259,0.38312026073977784,0.38312026073977784
no2_insitu,surface_pressure_hpa,26259,-0.3438052460432617,0.3438052460432617
no2_insitu,wind_speed_10m,26259,0.16094213322985904,0.16094213322985904
no2_insitu,wind_direction_10m_deg,26259,-0.15190435050361412,0.15190435050361412
no2_insitu,temperature_2m_c,26259,0.14389988533480244,0.14389988533480244
no2_insitu,relative_humidity_pct,26259,-0.13469837267996573,0.13469837267996573
no2_insitu,dewpoint_2m_c,26259,0.09783185703841654,0.09783185703841654
no2_insitu,s2_vegetation_fraction,25195,-0.04247844579755254,0.04247844579755254
no2_insitu,s2_cloud_pct,25195,0.041113628239683286,0.041113628239683286
no2_insitu,s2_ndbi,25195,0.03415391443152227,0.03415391443152227
no2_insitu,s2_urban_index,25195,0.03330510488704252,0.03330510488704252
no2_insitu,s2_bsi,25195,0.031150501438597,0.031150501438597
no2_insitu,s2_ndvi,25195,-0.028508715423262228,0.028508715423262228
no2_insitu,total_precipitation_mm_hourly,26259,0.019813156616617554,0.019813156616617554
no2_insitu,s2_valid_pixel_pct,25195,0.009830468976136686,0.009830468976136686
no2_insitu,aod_047_observado,15310,0.005771738295177338,0.005771738295177338
no2_insitu,aod_055_observado,15310,0.005635145437750614,0.005635145437750614
no2_insitu,aod_047_interp,26259,0.0009774786953039123,0.0009774786953039123
no2_insitu,aod_055_interp,26259,0.0007073914916093648,0.0007073914916093648
no2_insitu,s5p_tile_distance_km,26259,2.1879173684462684e-16,2.1879173684462684e-16
o3_insitu,relative_humidity_pct,191257,-0.2043561332000086,0.2043561332000086
o3_insitu,temperature_2m_c,191257,0.12925915904147817,0.12925915904147817
o3_insitu,surface_solar_radiation_downwards_j_m2,191257,-0.1197476511465499,0.1197476511465499
o3_insitu,surface_pressure_hpa,191257,0.10389774349806113,0.10389774349806113
o3_insitu,s2_ndbi,185541,-0.08289263099461953,0.08289263099461953
o3_insitu,s2_urban_index,185541,-0.08088601286362516,0.08088601286362516
o3_insitu,s2_bsi,185541,-0.07727679866348994,0.07727679866348994
o3_insitu,s2_ndvi,185541,0.06778042066841795,0.06778042066841795
o3_insitu,s5p_tile_distance_km,191257,0.06459745831031627,0.06459745831031627
o3_insitu,total_precipitation_mm_hourly,191252,-0.06232085421664733,0.06232085421664733
o3_insitu,s2_vegetation_fraction,185541,0.05917418609165237,0.05917418609165237
o3_insitu,dewpoint_2m_c,191257,-0.04394079663003574,0.04394079663003574
o3_insitu,wind_direction_10m_deg,191257,0.0379472590521694,0.0379472590521694
o3_insitu,s2_cloud_pct,185541,-0.021861005737509914,0.021861005737509914
o3_insitu,wind_speed_10m,191257,0.011124879414693442,0.011124879414693442
o3_insitu,aod_055_observado,112613,-0.005526751542947462,0.005526751542947462
o3_insitu,aod_047_observado,112613,-0.005512886051822353,0.005512886051822353
o3_insitu,s2_valid_pixel_pct,185541,0.003849786968485061,0.003849786968485061
o3_insitu,aod_055_interp,191257,-0.002767631249154466,0.002767631249154466
o3_insitu,aod_047_interp,191257,-0.0027464675959116462,0.0027464675959116462
so2_insitu,surface_pressure_hpa,132415,-0.10254382893460115,0.10254382893460115
so2_insitu,dewpoint_2m_c,132415,-0.09844603257261562,0.09844603257261562
so2_insitu,temperature_2m_c,132415,-0.06316421835991852,0.06316421835991852
so2_insitu,wind_direction_10m_deg,132415,0.057079475758257024,0.057079475758257024
so2_insitu,surface_solar_radiation_downwards_j_m2,132415,-0.04902608527687837,0.04902608527687837
so2_insitu,s2_ndbi,128832,0.03255871918585763,0.03255871918585763
so2_insitu,s2_urban_index,128832,0.03033428868791502,0.03033428868791502
so2_insitu,s2_bsi,128832,0.02694679916699695,0.02694679916699695
so2_insitu,relative_humidity_pct,132415,0.017996960459252417,0.017996960459252417
so2_insitu,s5p_tile_distance_km,132415,0.011375691873284613,0.011375691873284613
so2_insitu,s2_cloud_pct,128832,-0.010299744472121359,0.010299744472121359
so2_insitu,s2_valid_pixel_pct,128832,0.009611821754932718,0.009611821754932718
so2_insitu,wind_speed_10m,132415,0.009255075691877921,0.009255075691877921
so2_insitu,s2_vegetation_fraction,128832,0.00911877103787804,0.00911877103787804
so2_insitu,aod_047_interp,132415,0.0069247468394587315,0.0069247468394587315
so2_insitu,aod_055_interp,132415,0.006782879242545732,0.006782879242545732
so2_insitu,total_precipitation_mm_hourly,132412,-0.004580561392983202,0.004580561392983202
so2_insitu,s2_ndvi,128832,0.0013431195698648546,0.0013431195698648546
so2_insitu,aod_055_observado,77411,-0.0007116849110506506,0.0007116849110506506
so2_insitu,aod_047_observado,77411,-0.0006149296457545826,0.0006149296457545826
