,no2_insitu,no2_insitu,no2_insitu,so2_insitu,so2_insitu,so2_insitu,o3_insitu,o3_insitu,o3_insitu
,mean,median,count,mean,median,count,mean,median,count
fecha_hora,,,,,,,,,
1,11.862978167753605,10.28583338184412,2909,4.94905909322151,2.840862649775472,9966,28.34297260622948,13.271775223398695,16558
2,12.557483218481725,10.47387421149393,2580,5.04707717111123,2.827771116827198,9699,28.347102018488492,13.88975145331305,14706
3,14.811881509714457,12.7679723332215,1967,3.6255504879475295,2.09464527172385,10476,29.207411674816328,16.02814539174684,15616
4,11.659715036505537,9.477257814349981,2113,3.8197201162844707,2.539757391965169,9773,28.100774189463785,15.3611234292996,16344
5,15.129332002803615,13.38850707106585,1832,4.959624991599701,2.775404985034101,11043,23.50652944542259,12.32028801226073,15563
6,15.322199209096109,13.1440539925211,1677,8.953405845516512,3.063418709896131,10969,26.722518052628267,13.51700388606312,14219
7,14.41087029631525,12.297870259097,1923,9.949179289461144,3.456164698344353,12600,31.192789796101138,16.85211369829931,17196
8,14.647555182822764,12.1098294294472,1868,9.127155805777518,3.744178423206382,13624,34.812995446265745,18.89241617166732,16186
9,15.22392253544098,13.27568257327597,2279,4.735530374328008,2.906320314516842,12921,33.82839951008467,19.61829301315402,16715
10,16.42878136233538,14.70479287861446,2544,4.038082836168707,2.38265899658588,11059,27.728688528978974,15.51806977340483,16940
11,14.454846883916359,13.42611523699581,2054,4.5800635191442405,2.880137248620294,9576,23.71437658850106,12.458808031676401,13308
12,13.452611559231778,11.45168652567289,2513,4.71678624484639,3.037235643999582,10709,25.82523345664799,12.25162398671469,17906
