estacion,NO2,O3,SO2
Base Aerea,0,29093,23067
Canaveralejo,0,0,32923
Compartir,0,35056,0
ERA - Obrero,0,26535,0
Ermita,0,0,36920
Flora,0,24327,24391
Pance,0,36340,0
TRANSITORIA-NAVARRO,0,4384,3396
Transitoria - Navarro,0,1556,11718
Univalle,26259,33966,0
