scope,pollutant,horizon_days,base_rmse,base_mae,base_r2,base_n,corrected_rmse,corrected_mae,corrected_r2,corrected_n,coverage_95_sigma_kriging
pollutant_horizon,SO2,1,3.8655543030482655,2.364179156397102,0.7928616999573314,403,3.88753236498271,2.4495478949815848,0.7904995858019348,403,0.9503722084367245
pollutant_horizon,SO2,3,3.8459032074315087,2.4265985231541523,0.7899085540716947,403,3.7302669453052513,2.4044697164881064,0.8023524232050974,403,0.9429280397022333
pollutant_horizon,SO2,7,3.877460224865211,2.4159048675965074,0.801108153918042,411,3.8275912335833886,2.413447830439864,0.8061912509843019,411,0.9464720194647201
pollutant_horizon,O3,1,8.579906560136529,6.496784473407294,0.4397826905786746,481,8.557160699741647,6.436994614052982,0.4427490944387824,481,0.9397089397089398
pollutant_horizon,O3,3,7.517894970794615,5.922810461302142,0.5053420489641383,479,7.412476247699592,5.843658559830301,0.5191173419105646,479,0.941544885177453
pollutant_horizon,O3,7,7.924420681462485,6.262158425045416,0.4860606374721148,474,7.93651411569983,6.216649326459708,0.4844907979338735,474,0.9430379746835443
pollutant,SO2,all,3.863089760413722,2.4023174243560557,0.7948198194786698,1217,3.815758960018844,2.422429051547305,0.799816778287986,1217,0.9465899753492194
pollutant,O3,all,8.020489362979127,6.227505325065663,0.4758743071578676,1434,7.983430334289648,6.165968368382218,0.48070660963499434,1434,0.9414225941422594
all,SO2+O3,all,6.453517862478623,4.4714684804170055,0.8025079117946723,2651,6.415623591588413,4.447414106372376,0.8048204014513849,2651,0.943794794417201
