model,rmse_all_corrected,r2_all_corrected,mae_all_corrected,coverage,so2_t1_corrected_rmse,o3_t1_corrected_rmse,nugget_ok_count,n_fallback,n_zero_floor
linear,6.3815032176714,0.8068909381112621,4.423735342003288,0.938513768389287,3.894846997410492,8.51537792795325,1,70,50
power,6.393202284237276,0.8061822440751334,4.414101799758152,0.935118823085628,3.86959005568268,8.530837303510221,1,82,51
exponential,6.415623591588413,0.8048204014513849,4.447414106372376,0.943794794417201,3.88753236498271,8.557160699741647,1,49,47
spherical,6.415638997520083,0.804819464074955,4.454657912382436,0.938513768389287,3.887363558550932,8.576498223026393,1,65,50
gaussian,6.410246483002979,0.8051474350037879,4.463792256415612,0.9354960392304792,3.898059171624576,8.593252795991974,0,86,54
