kpi,minimum,excellent,value,status,evidence
RMSE LOO-CV NO2 T+1,<= 8 ug/m3,<= 4 ug/m3,,no_evaluable,NO2 tiene una sola estacion; LOO-CV espacial no defendible.
RMSE LOO-CV SO2 T+1,<= 6 ug/m3,<= 3 ug/m3,3.894846997410492,cumple_minimo,LOO-CV covariado con ST-Kriging y postproceso fisico: fallback ConvLSTM si correccion < 0; piso 0 si ConvLSTM tambien < 0.
RMSE LOO-CV O3 T+1,<= 12 ug/m3,<= 6 ug/m3,8.51537792795325,cumple_minimo,LOO-CV covariado con ST-Kriging y postproceso fisico: fallback ConvLSTM si correccion < 0; piso 0 si ConvLSTM tambien < 0.
R2 LOO-CV promedio contaminantes evaluables,>= 0.55,>= 0.75,0.8068909381112621,excelente,Calculado sobre SO2+O3 con la misma regla fisica usada para mapas/API; NO2 excluido por n=1 estacion.
Indice Moran I predicciones,"> 0.30, p < 0.05","> 0.50, p < 0.05",min I=0.898; max p=0.001; 9/9 mapas,excelente,Moran I recalculado sobre mapas finales fisicamente validos.
Variograma residuos nugget puro / sin estructura,sin estructura,sin estructura,1/6 sin estructura en SO2/O3 LOO fisico,no_cumple,Clasificacion distancia-semivarianza sobre residuos LOO corregidos fisicamente; persiste estructura residual.
Cobertura cinturon 95% sigma kriging,>= 92%,>= 95%,0.938513768389287,cumple_minimo,Empirico LOO-CV SO2+O3 usando |obs-pred_fisica| <= 1.96*sigma_kriging.
Degradacion T+1 a T+7 RMSE,< 60% aumento,< 30% aumento,-0.016356056890268866,excelente,Ratio RMSE corregido fisicamente T+7/T+1 sobre SO2 y O3.
Latencia inferencia end-to-end,< 8 s,< 3 s,28.75 ms,excelente,Mediana de 5 repeticiones por radius medida al startup con time.perf_counter en /api/situacion3/radius.
