epoch,train_loss,val_loss,val_rmse,val_mae,val_r2,val_n
1,0.6003149879804577,0.24657724490937064,7.291681111639338,5.180314540863037,0.5206463932991028,486
2,0.41915720566568604,0.21471763971973867,6.8135459167003765,5.177274227142334,0.5814503133296967,486
3,0.38576440746525686,0.20242215780650868,6.610174324634017,4.604934215545654,0.6060632467269897,486
4,0.3305267216749938,0.21376544543925455,6.798396920127108,4.434260368347168,0.5833094120025635,486
5,0.2887450551322426,0.18149371905361905,6.266577745713079,4.192718982696533,0.6459524929523468,486
6,0.229900196912777,0.15013840312466903,5.710293212951578,3.950147867202759,0.706020176410675,486
7,0.21576686023947705,0.17010187050875494,6.0659723464431075,4.1875457763671875,0.6682572066783905,486
8,0.194953860378409,0.15472734215504982,5.782423075664436,4.161407470703125,0.698546439409256,486
9,0.19732112688831535,0.14290568977594376,5.560543273345778,3.9599602222442627,0.7212370038032532,486
10,0.19376288655113025,0.1586429934729548,5.863708683828742,4.109994411468506,0.6900116205215454,486
11,0.20735377140612488,0.1505595851032173,5.705954657073957,4.0426435470581055,0.7064667344093323,486
12,0.17576543784823762,0.15257693849065723,5.752641154202427,4.062735080718994,0.7016436755657196,486
13,0.1717043558068304,0.14801268695908434,5.661614166426605,3.9411354064941406,0.7110110521316528,486
14,0.16010161224438482,0.15647346723605604,5.819311928991631,4.021045207977295,0.6946879625320435,486
15,0.15580960026527024,0.16062910022104487,5.896344956843829,4.1012749671936035,0.6865513324737549,486
16,0.1497646913560758,0.15828513288322618,5.863671927045167,4.020952224731445,0.6900154948234558,486
17,0.1438992137022047,0.17187386926482706,6.101792569285992,4.279081344604492,0.6643276810646057,486
