pollutant,horizon_days,n_stations,nearest_station_km_mean,nearest_station_km_p75,variance_near_q25_mean,variance_far_q75_mean,far_over_near_variance_ratio,distance_variance_corr
NO2,1,1,10.821480396296385,14.650753045501702,38.000250017642976,84.8306874593099,2.2323718243938977,0.9987420231809603
NO2,3,1,10.821480396296385,14.650753045501702,35.13713406721751,80.1441590944926,2.280896300226889,0.9987587543524483
NO2,7,1,10.821480396296385,14.650753045501702,42.12838748296102,72.440820535024,1.7195251198333419,0.9983067306322818
O3,1,7,5.513269393707385,7.455049378416507,76.00780096054078,90.15042943954468,1.1860681180125972,0.7489381876660455
O3,3,7,5.513269393707385,7.455049378416507,65.85228654543559,72.61759200096131,1.1027345565420559,0.605102688721994
O3,7,7,5.513269393707385,7.455049378416507,66.79929203987122,79.31355465253195,1.187341246149603,0.7689072206046077
SO2,1,5,6.595212756602871,9.358723835475573,31.187313269575437,166.86659518877664,5.350463944951685,0.9904202209537296
SO2,3,5,6.595212756602871,9.358723835475573,32.1580450589459,171.7954466501872,5.342222959613529,0.9904898463098685
SO2,7,5,6.595212756602871,9.358723835475573,33.2696011304897,174.56534967422485,5.246992562055264,0.9908796784235697
