left_out_station,n,n_qa_outliers,observed_mean,observed_max,rmse_raw
Base Aerea,83.0,0.0,7.921194027705365,36.03488159179688,4.946407166069038
Canaveralejo,95.0,0.0,1.6174906798883488,7.449082374572754,1.8478199398547541
Ermita,104.0,0.0,4.455834930905929,19.22382545471192,3.4098604401650947
Flora,75.0,4.0,8.699930688987175,84.32910919189453,17.02867637728166
Transitoria Navarro,46.0,0.0,5.143111927839725,20.48061180114746,3.274385867013952
