scope,pollutant,horizon_days,base_rmse,base_mae,base_r2,base_n,corrected_rmse,corrected_mae,corrected_r2,corrected_n,coverage_95_sigma_kriging
pollutant_horizon,SO2,1,3.8655543030482655,2.364179156397102,0.7928616999573314,403,3.887363558550932,2.444688289577425,0.7905177794766043,403,0.9454094292803971
pollutant_horizon,SO2,3,3.8459032074315087,2.4265985231541523,0.7899085540716947,403,3.753028973232751,2.438226639110035,0.7999329793888574,403,0.9305210918114144
pollutant_horizon,SO2,7,3.877460224865211,2.4159048675965074,0.801108153918042,411,3.825007034372856,2.4148897001237666,0.8064528626948416,411,0.9391727493917275
pollutant_horizon,O3,1,8.579906560136529,6.496784473407294,0.4397826905786746,481,8.576498223026393,6.475647713630893,0.440227690807764,481,0.9376299376299376
pollutant_horizon,O3,3,7.517894970794615,5.922810461302142,0.5053420489641383,479,7.375494056742371,5.807699215211774,0.5239037937406026,479,0.9373695198329853
pollutant_horizon,O3,7,7.924420681462485,6.262158425045416,0.4860606374721148,474,7.942244609407485,6.228458372090762,0.4837460909516298,474,0.9409282700421941
pollutant,SO2,all,3.863089760413722,2.4023174243560557,0.7948198194786698,1217,3.8222124897970353,2.4324851134033807,0.7991390725572799,1217,0.9383730484798686
pollutant,O3,all,8.020489362979127,6.227505325065663,0.4758743071578676,1434,7.980832823663629,6.1708254830641,0.4810444720843422,1434,0.9386331938633193
all,SO2+O3,all,6.453517862478623,4.4714684804170055,0.8025079117946723,2651,6.415638997520083,4.4546579123824355,0.804819464074955,2651,0.938513768389287
